STUDY_ID	SAMPLE_ID	AKR1C3
brca_igr_2015	MBC_174	0
brca_igr_2015	MBC_175	0
brca_igr_2015	MBC_176	0
brca_igr_2015	MBC_177	1
brca_igr_2015	MBC_178	1
brca_igr_2015	MBC_179	0
brca_igr_2015	MBC_180	0
brca_igr_2015	MBC_181	1
brca_igr_2015	MBC_1	0
brca_igr_2015	MBC_2	0
brca_igr_2015	MBC_3	0
brca_igr_2015	MBC_4	0
brca_igr_2015	MBC_5	2
brca_igr_2015	MBC_6	0
brca_igr_2015	MBC_7	0
brca_igr_2015	MBC_8	0
brca_igr_2015	MBC_9	1
brca_igr_2015	MBC_10	2
brca_igr_2015	MBC_11	2
brca_igr_2015	MBC_12	0
brca_igr_2015	MBC_13	1
brca_igr_2015	MBC_14	1
brca_igr_2015	MBC_15	1
brca_igr_2015	MBC_16	2
brca_igr_2015	MBC_17	0
brca_igr_2015	MBC_18	0
brca_igr_2015	MBC_19	1
brca_igr_2015	MBC_20	1
brca_igr_2015	MBC_21	2
brca_igr_2015	MBC_22	0
brca_igr_2015	MBC_23	1
brca_igr_2015	MBC_24	0
brca_igr_2015	MBC_25	1
brca_igr_2015	MBC_26	2
brca_igr_2015	MBC_27	2
brca_igr_2015	MBC_28	0
brca_igr_2015	MBC_29	1
brca_igr_2015	MBC_30	0
brca_igr_2015	MBC_31	-1
brca_igr_2015	MBC_32	1
brca_igr_2015	MBC_33	1
brca_igr_2015	MBC_34	1
brca_igr_2015	MBC_35	1
brca_igr_2015	MBC_36	0
brca_igr_2015	MBC_37	0
brca_igr_2015	MBC_38	1
brca_igr_2015	MBC_39	1
brca_igr_2015	MBC_40	0
brca_igr_2015	MBC_41	2
brca_igr_2015	MBC_42	1
brca_igr_2015	MBC_43	1
brca_igr_2015	MBC_44	1
brca_igr_2015	MBC_45	1
brca_igr_2015	MBC_46	1
brca_igr_2015	MBC_47	1
brca_igr_2015	MBC_48	2
brca_igr_2015	MBC_49	0
brca_igr_2015	MBC_50	0
brca_igr_2015	MBC_51	0
brca_igr_2015	MBC_52	0
brca_igr_2015	MBC_53	0
brca_igr_2015	MBC_54	1
brca_igr_2015	MBC_55	2
brca_igr_2015	MBC_56	0
brca_igr_2015	MBC_57	0
brca_igr_2015	MBC_58	0
brca_igr_2015	MBC_59	1
brca_igr_2015	MBC_60	1
brca_igr_2015	MBC_61	0
brca_igr_2015	MBC_62	0
brca_igr_2015	MBC_63	0
brca_igr_2015	MBC_64	0
brca_igr_2015	MBC_65	0
brca_igr_2015	MBC_66	2
brca_igr_2015	MBC_67	2
brca_igr_2015	MBC_68	1
brca_igr_2015	MBC_69	1
brca_igr_2015	MBC_70	1
brca_igr_2015	MBC_71	0
brca_igr_2015	MBC_72	0
brca_igr_2015	MBC_73	0
brca_igr_2015	MBC_74	0
brca_igr_2015	MBC_75	0
brca_igr_2015	MBC_76	0
brca_igr_2015	MBC_77	0
brca_igr_2015	MBC_78	0
brca_igr_2015	MBC_79	1
brca_igr_2015	MBC_80	1
brca_mbcproject_wagle_2017	MBC-MBCProject_GvHkH2Hk-Tumor-SM-AZ5H9	0
brca_mbcproject_wagle_2017	MBC-MBCProject_N4srsKsr-Tumor-SM-CGMGK	0
brca_mbcproject_wagle_2017	MBC-MBCProject_N4srsKsr-Tumor-SM-CGLTK	0
brca_mbcproject_wagle_2017	MBC-MBCProject_K7f6fdUz-Tumor-SM-AZ5MA	1
brca_mbcproject_wagle_2017	MBC-MBCProject_xBfJfri9-Tumor-SM-CGL4F	0
brca_mbcproject_wagle_2017	MBC-MBCProject_QbiZiytx-Tumor-SM-CGMH7	0
brca_mbcproject_wagle_2017	MBC-MBCProject_QbiZiytx-Tumor-SM-CGM9N	0
brca_mbcproject_wagle_2017	MBC-MBCProject_VrsMsqTb-Tumor-SM-CGLRO	0
brca_mbcproject_wagle_2017	MBC-MBCProject_K0UDUnFE-Tumor-SM-AZ5FD	0
brca_mbcproject_wagle_2017	MBC-MBCProject_RKf1frsr-Tumor-SM-AZ5L1	2
brca_mbcproject_wagle_2017	MBC-MBCProject_kwS1CXSR-Tumor-SM-DL4SG	0
brca_mbcproject_wagle_2017	MBC-MBCProject_gotjfgf0-Tumor-SM-CGL7K	0
brca_mbcproject_wagle_2017	MBC-MBCProject_3jhES9fq-Tumor-SM-AXGIU	0
brca_mbcproject_wagle_2017	MBC-MBCProject_rmSBIguN-Tumor-SM-DL385	0
brca_mbcproject_wagle_2017	MBC-MBCProject_rmSBIguN-Tumor-SM-DL3N8	0
brca_mbcproject_wagle_2017	MBC-MBCProject_KphMt4F9-Tumor-SM-DL4PB	-1
brca_mbcproject_wagle_2017	MBC-MBCProject_KphMt4F9-Tumor-SM-DL4RT	0
brca_mbcproject_wagle_2017	MBC-MBCProject_bAi0Slsx-Tumor-SM-CGMFB	1
brca_mbcproject_wagle_2017	MBC-MBCProject_BOHWtZT8-Tumor-SM-CGLQF	0
brca_mbcproject_wagle_2017	MBC-MBCProject_kAFQF3t6-Tumor-SM-DL36W	0
brca_mbcproject_wagle_2017	MBC-MBCProject_5jSPs9fl-Tumor-SM-CGL1A	0
brca_mbcproject_wagle_2017	MBC-MBCProject_PASlTyTy-Tumor-SM-DL473	1
brca_mbcproject_wagle_2017	MBC-MBCProject_AqtYu0IW-Tumor-SM-DL3YJ	0
brca_mbcproject_wagle_2017	MBC-MBCProject_gjhMuoha-Tumor-SM-AXGGJ	0
brca_mbcproject_wagle_2017	MBC-MBCProject_PzUBH7I3-Tumor-SM-CGLNW	0
brca_mbcproject_wagle_2017	MBC-MBCProject_ePi1smiM-Tumor-SM-AZ5OS	0
brca_mbcproject_wagle_2017	MBC-MBCProject_7JtRIPI2-Tumor-SM-CGLXC	2
brca_mbcproject_wagle_2017	MBC-MBCProject_7JtRIPI2-Tumor-SM-CGMAW	0
brca_mbcproject_wagle_2017	MBC-MBCProject_NDIbs9i6-Tumor-SM-DL4VL	0
brca_mbcproject_wagle_2017	MBC-MBCProject_ZPHRs3Uw-Tumor-SM-DL3BA	0
brca_mbcproject_wagle_2017	MBC-MBCProject_KGs1fxH2-Tumor-SM-CGM1H	0
brca_mbcproject_wagle_2017	MBC-MBCProject_KGs1fxH2-Tumor-SM-CGMCS	-1
brca_mbcproject_wagle_2017	MBC-MBCProject_KGs1fxH2-Tumor-SM-CGLUT	0
brca_mbcproject_wagle_2017	MBC-MBCProject_3MUnT7Ty-Tumor-SM-CGLLE	0
brca_mbcproject_wagle_2017	MBC-MBCProject_7OcOivcV-Tumor-SM-DL44K	0
brca_mbcproject_wagle_2017	MBC-MBCProject_j2F2sQC0-Tumor-SM-DL3CJ	0
brca_mbcproject_wagle_2017	MBC-MBCProject_nZHYc4Ie-Tumor-SM-DL39E	0
brca_mbcproject_wagle_2017	MBC-MBCProject_2pt4t9cA-Tumor-SM-GQD4Q	0
brca_mbcproject_wagle_2017	MBC-MBCProject_qmu6TYto-Tumor-SM-DL3BW	0
brca_mbcproject_wagle_2017	MBC-MBCProject_bpunhmim-Tumor-SM-DL4MS	0
brca_mbcproject_wagle_2017	MBC-MBCProject_Y8H6SghO-Tumor-SM-DL4IE	2
brca_mbcproject_wagle_2017	MBC-MBCProject_lQtMtjFR-Tumor-SM-GQCOD	0
brca_mbcproject_wagle_2017	MBC-MBCProject_2ViLiZS8-Tumor-SM-DL3Z6	2
brca_mbcproject_wagle_2017	MBC-MBCProject_wKuwTYhK-Tumor-SM-GQCRI	0
brca_mbcproject_wagle_2017	MBC-MBCProject_JKTZhEUe-Tumor-SM-DL48C	0
brca_mbcproject_wagle_2017	MBC-MBCProject_OwuoTVhg-Tumor-SM-DL3OH	0
brca_mbcproject_wagle_2017	MBC-MBCProject_oqupfDu7-Tumor-SM-GQCIP	2
brca_mbcproject_wagle_2017	MBC-MBCProject_RJf1h2Sp-Tumor-SM-DL4M6	0
brca_mbcproject_wagle_2017	MBC-MBCProject_BvsPhwI1-Tumor-SM-DL4A8	0
brca_mbcproject_wagle_2017	MBC-MBCProject_6vTVHzur-Tumor-SM-GQCQV	0
brca_mbcproject_wagle_2017	MBC-MBCProject_e4SaTnIW-Tumor-SM-DL4KA	0
brca_mbcproject_wagle_2017	MBC-MBCProject_e4SaTnIW-Tumor-SM-DL3WN	0
brca_mbcproject_wagle_2017	MBC-MBCProject_e4SaTnIW-Tumor-SM-GQC6R	0
brca_mbcproject_wagle_2017	MBC-MBCProject_XVHkUVTb-Tumor-SM-GQCLU	0
brca_mbcproject_wagle_2017	MBC-MBCProject_7wCjtKIW-Tumor-SM-GQCN4	1
brca_mbcproject_wagle_2017	MBC-MBCProject_mrIQIdsx-Tumor-SM-GQC5I	0
brca_mbcproject_wagle_2017	MBC-MBCProject_mrIQIdsx-Tumor-SM-GQ9JZ	0
brca_mbcproject_wagle_2017	MBC-MBCProject_briXiduE-Tumor-SM-DL49L	1
brca_mbcproject_wagle_2017	MBC-MBCProject_k4hlFwFg-Tumor-SM-GQD1B	0
brca_mbcproject_wagle_2017	MBC-MBCProject_k4hlFwFg-Tumor-SM-GQA9I	0
brca_mbcproject_wagle_2017	MBC-MBCProject_gASyuQSl-Tumor-SM-GQ9KM	0
brca_mbcproject_wagle_2017	MBC-MBCProject_gASyuQSl-Tumor-SM-GQA3U	0
brca_mbcproject_wagle_2017	MBC-MBCProject_GpizsQiW-Tumor-SM-GQA8V	0
brca_mbcproject_wagle_2017	MBC-MBCProject_glf3CWFa-Tumor-SM-GQ9N5	0
brca_mbcproject_wagle_2017	MBC-MBCProject_WYHpfXf1-Tumor-SM-GQAFS	1
brca_mbcproject_wagle_2017	MBC-MBCProject_WYHpfXf1-Tumor-SM-GQB77	0
brca_mbcproject_wagle_2017	MBC-MBCProject_2WCGcxuk-Tumor-SM-GQAVI	0
brca_mbcproject_wagle_2017	MBC-MBCProject_zatdFvhp-Tumor-SM-GQAAR	0
brca_mbcproject_wagle_2017	MBC-MBCProject_W5ceiLi0-Tumor-SM-GQAR4	0
brca_mbcproject_wagle_2017	MBC-MBCProject_MmSBTJtJ-Tumor-SM-GQAGF	0
brca_mbcproject_wagle_2017	MBC-MBCProject_x4cLHdhw-Tumor-SM-GQ9P1	-1
brca_mbcproject_wagle_2017	MBC-MBCProject_x4cLHdhw-Tumor-SM-GQAU9	0
brca_mbcproject_wagle_2017	MBC-MBCProject_x4cLHdhw-Tumor-SM-GQALG	0
brca_mbcproject_wagle_2017	MBC-MBCProject_nkU3hDhB-Tumor-SM-GQA38	0
brca_mbcproject_wagle_2017	MBC-MBCProject_nkU3hDhB-Tumor-SM-GQC49	0
brca_mbcproject_wagle_2017	MBC-MBCProject_NzHBsOtg-Tumor-SM-GQBL1	0
brca_mbcproject_wagle_2017	MBC-MBCProject_W4FBsLSx-Tumor-SM-GQA6D	-1
brca_mbcproject_wagle_2017	MBC-MBCProject_W4FBsLSx-Tumor-SM-GQ9LV	-1
brca_mbcproject_wagle_2017	MBC-MBCProject_W4FBsLSx-Tumor-SM-GQ9QW	-1
brca_mbcproject_wagle_2017	MBC-MBCProject_JGcLUJiA-Tumor-SM-GQAF6	1
brca_mbcproject_wagle_2017	MBC-MBCProject_JGcLUJiA-Tumor-SM-GQAYN	0
brca_mbcproject_wagle_2017	MBC-MBCProject_5vTpUpCv-Tumor-SM-GQA4H	0
brca_mbcproject_wagle_2017	MBC-MBCProject_Ali6SAHL-Tumor-SM-GQAH2	1
brca_mbcproject_wagle_2017	MBC-MBCProject_8bfWIQu1-Tumor-SM-GQCD2	0
brca_mbcproject_wagle_2017	MBC-MBCProject_2Wf9hPtA-Tumor-SM-GQB5X	0
brca_mbcproject_wagle_2017	MBC-MBCProject_W9hmcWcz-Tumor-SM-GQ9VB	0
brca_mbcproject_wagle_2017	MBC-MBCProject_AJF3tVc8-Tumor-SM-GQAJK	0
brca_mbcproject_wagle_2017	MBC-MBCProject_y2F3IgIE-Tumor-SM-GQBAC	0
brca_metabric	MB-0006	0
brca_metabric	MB-0008	0
brca_metabric	MB-0020	0
brca_metabric	MB-0022	0
brca_metabric	MB-0035	-1
brca_metabric	MB-0050	-1
brca_metabric	MB-0056	0
brca_metabric	MB-0071	0
brca_metabric	MB-0083	0
brca_metabric	MB-0093	0
brca_metabric	MB-0101	0
brca_metabric	MB-0102	0
brca_metabric	MB-0110	0
brca_metabric	MB-0112	0
brca_metabric	MB-0116	0
brca_metabric	MB-0117	0
brca_metabric	MB-0124	0
brca_metabric	MB-0125	0
brca_metabric	MB-0133	0
brca_metabric	MB-0139	0
brca_metabric	MB-0142	0
brca_metabric	MB-0145	0
brca_metabric	MB-0147	0
brca_metabric	MB-0153	0
brca_metabric	MB-0156	0
brca_metabric	MB-0159	0
brca_metabric	MB-0160	0
brca_metabric	MB-0162	0
brca_metabric	MB-0169	0
brca_metabric	MB-0171	0
brca_metabric	MB-0177	0
brca_metabric	MB-0188	0
brca_metabric	MB-0192	0
brca_metabric	MB-0199	0
brca_metabric	MB-0205	0
brca_metabric	MB-0207	0
brca_metabric	MB-0210	0
brca_metabric	MB-0215	0
brca_metabric	MB-0222	0
brca_metabric	MB-0228	0
brca_metabric	MB-0229	0
brca_metabric	MB-0234	0
brca_metabric	MB-0239	0
brca_metabric	MB-0245	0
brca_metabric	MB-0263	0
brca_metabric	MB-0266	0
brca_metabric	MB-0279	0
brca_metabric	MB-0281	0
brca_metabric	MB-0282	0
brca_metabric	MB-0299	0
brca_metabric	MB-0302	1
brca_metabric	MB-0312	0
brca_metabric	MB-0319	0
brca_metabric	MB-0320	0
brca_metabric	MB-0326	0
brca_metabric	MB-0327	0
brca_metabric	MB-0328	2
brca_metabric	MB-0341	0
brca_metabric	MB-0342	0
brca_metabric	MB-0344	0
brca_metabric	MB-0351	0
brca_metabric	MB-0363	0
brca_metabric	MB-0366	0
brca_metabric	MB-0367	0
brca_metabric	MB-0369	0
brca_metabric	MB-0394	0
brca_metabric	MB-0403	0
brca_metabric	MB-0410	0
brca_metabric	MB-0411	0
brca_metabric	MB-0423	0
brca_metabric	MB-0427	0
brca_metabric	MB-0429	-1
brca_metabric	MB-0431	0
brca_metabric	MB-0435	0
brca_metabric	MB-0437	0
brca_metabric	MB-0444	0
