Study ID	Sample ID	Patient ID	Altered	AKR1C3	AKR1C3: MUT	AKR1C3: FUSION	AKR1C3: AMP	AKR1C3: HOMDEL
brca_metabric	MB-6059	MB-6059	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6098	MB-6098	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6131	MB-6131	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6188	MB-6188	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6223	MB-6223	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6280	MB-6280	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6358	MB-6358	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7020	MB-7020	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7031	MB-7031	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7087	MB-7087	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7090	MB-7090	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7119	MB-7119	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7145	MB-7145	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7151	MB-7151	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7154	MB-7154	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7155	MB-7155	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7165	MB-7165	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7205	MB-7205	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7251	MB-7251	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-7258	MB-7258	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0000	MB-0000	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0002	MB-0002	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0005	MB-0005	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0006	MB-0006	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0008	MB-0008	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0010	MB-0010	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0014	MB-0014	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0022	MB-0022	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0028	MB-0028	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0035	MB-0035	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0036	MB-0036	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0039	MB-0039	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0045	MB-0045	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0046	MB-0046	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0048	MB-0048	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0050	MB-0050	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0053	MB-0053	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0054	MB-0054	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0056	MB-0056	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0060	MB-0060	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0062	MB-0062	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0064	MB-0064	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0066	MB-0066	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0068	MB-0068	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0079	MB-0079	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0081	MB-0081	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0083	MB-0083	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0093	MB-0093	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0095	MB-0095	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0097	MB-0097	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0100	MB-0100	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0101	MB-0101	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0102	MB-0102	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0106	MB-0106	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0107	MB-0107	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0108	MB-0108	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0109	MB-0109	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0111	MB-0111	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0112	MB-0112	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0113	MB-0113	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0114	MB-0114	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0115	MB-0115	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0116	MB-0116	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0117	MB-0117	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0119	MB-0119	0	no alteration	not profiled	not profiled	no alteration	no alteration
