STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-0279	5.850028934
brca_metabric	MB-0280	5.309007792
brca_metabric	MB-0282	5.415061258
brca_metabric	MB-0284	5.183108231
brca_metabric	MB-0285	5.444879765
brca_metabric	MB-0286	5.783140842
brca_metabric	MB-0287	6.521370414
brca_metabric	MB-0288	6.846166027
brca_metabric	MB-0289	5.575883571
brca_metabric	MB-0290	6.128619669
brca_metabric	MB-0291	6.675039525
brca_metabric	MB-0292	5.451853802
brca_metabric	MB-0293	5.539383295
brca_metabric	MB-0294	7.220468531
brca_metabric	MB-0295	5.53541874
brca_metabric	MB-0301	5.830598386
brca_metabric	MB-0302	5.710228389
brca_metabric	MB-0303	5.585227748
brca_metabric	MB-0304	5.447749757
brca_metabric	MB-0305	5.402407178
brca_metabric	MB-0306	5.493802979
brca_metabric	MB-0307	5.317746336
brca_metabric	MB-0308	5.427000112
brca_metabric	MB-0309	7.113106537
brca_metabric	MB-0310	5.725496897
brca_metabric	MB-0311	5.630727375
brca_metabric	MB-0312	5.860624831
brca_metabric	MB-0313	5.469361533
brca_metabric	MB-0314	5.504988102
brca_metabric	MB-0315	5.294758002
brca_metabric	MB-0316	5.383696721
brca_metabric	MB-0317	5.811073129
brca_metabric	MB-0318	5.497921531
brca_metabric	MB-0319	5.354006229
brca_metabric	MB-0320	5.500569402
brca_metabric	MB-0321	5.356346013
brca_metabric	MB-0322	6.100922923
brca_metabric	MB-0324	5.449025513
brca_metabric	MB-0325	5.283783826
brca_metabric	MB-0328	5.305668658
brca_metabric	MB-0336	5.54410895
brca_metabric	MB-0339	7.501218613
brca_metabric	MB-0340	5.715984995
brca_metabric	MB-0341	6.532957771
brca_metabric	MB-0342	6.460016816
brca_metabric	MB-0343	5.87035831
brca_metabric	MB-0344	5.702076173
brca_metabric	MB-0345	5.357053955
brca_metabric	MB-0346	5.681365838
brca_metabric	MB-0348	8.708416455
brca_metabric	MB-0349	7.097339815
brca_metabric	MB-0350	5.508405187
brca_metabric	MB-0352	5.742750145
brca_metabric	MB-0353	5.896669326
brca_metabric	MB-0354	6.030729571
brca_metabric	MB-0356	6.945553822
brca_metabric	MB-0358	5.481985208
brca_metabric	MB-0359	6.14023653
brca_metabric	MB-0360	5.297676997
brca_metabric	MB-0361	5.371302684
brca_metabric	MB-0362	5.50998746
brca_metabric	MB-0363	5.674920334
brca_metabric	MB-0364	7.828019064
brca_metabric	MB-0365	8.107429932
brca_metabric	MB-0366	6.198242193
brca_metabric	MB-0367	5.413144336
brca_metabric	MB-0368	5.475248391
brca_metabric	MB-0369	5.30965176
brca_metabric	MB-0370	5.675203761
brca_metabric	MB-0371	6.455567624
brca_metabric	MB-0372	5.43261411
brca_metabric	MB-0373	5.617480717
brca_metabric	MB-0374	5.833849849
brca_metabric	MB-0375	5.22026974
brca_metabric	MB-0377	5.32632765
brca_metabric	MB-0378	5.945536867
brca_metabric	MB-0379	5.34518018
brca_metabric	MB-0380	5.619017089
brca_metabric	MB-0381	9.733558064
brca_metabric	MB-0382	7.109472007
brca_metabric	MB-0383	5.306749319
brca_metabric	MB-0384	5.985245115
brca_metabric	MB-0385	5.518138629
brca_metabric	MB-0386	7.091931999
brca_metabric	MB-0388	5.593649052
brca_metabric	MB-0389	5.50623692
brca_metabric	MB-0391	5.230549824
brca_metabric	MB-0392	5.492983448
brca_metabric	MB-0393	5.464221148
brca_metabric	MB-0394	6.755224256
brca_metabric	MB-0395	8.996276342
brca_metabric	MB-0396	5.547496105
brca_metabric	MB-0397	5.607938752
brca_metabric	MB-0398	6.182209384
brca_metabric	MB-0399	5.532552029
brca_metabric	MB-0400	5.591778735
brca_metabric	MB-0401	5.144664759
brca_metabric	MB-0402	5.694874577
brca_metabric	MB-0404	5.668440004
brca_metabric	MB-0406	8.444746301
brca_metabric	MB-0410	5.346957135
brca_metabric	MB-0411	5.291094936
