STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-0284	-0.9376
brca_metabric	MB-0285	-0.5923
brca_metabric	MB-0286	-0.1664
brca_metabric	MB-0287	0.6939
brca_metabric	MB-0288	1.0459
brca_metabric	MB-0289	-0.4247
brca_metabric	MB-0290	0.2473
brca_metabric	MB-0291	0.8623
brca_metabric	MB-0292	-0.5833
brca_metabric	MB-0293	-0.4711
brca_metabric	MB-0294	1.434
brca_metabric	MB-0295	-0.4761
brca_metabric	MB-0301	-0.1083
brca_metabric	MB-0302	-0.2563
brca_metabric	MB-0303	-0.4129
brca_metabric	MB-0304	-0.5886
brca_metabric	MB-0305	-0.6474
brca_metabric	MB-0306	-0.5293
brca_metabric	MB-0307	-0.7582
brca_metabric	MB-0308	-0.6154
brca_metabric	MB-0309	1.3245
brca_metabric	MB-0310	-0.2374
brca_metabric	MB-0311	-0.3556
brca_metabric	MB-0312	-0.0718
brca_metabric	MB-0313	-0.5607
brca_metabric	MB-0314	-0.515
brca_metabric	MB-0315	-0.7886
brca_metabric	MB-0316	-0.6717
brca_metabric	MB-0317	-0.1321
brca_metabric	MB-0318	-0.5241
brca_metabric	MB-0319	-0.7106
brca_metabric	MB-0320	-0.5207
brca_metabric	MB-0321	-0.7075
brca_metabric	MB-0322	0.2149
brca_metabric	MB-0324	-0.587
brca_metabric	MB-0325	-0.8031
brca_metabric	MB-0328	-0.7741
brca_metabric	MB-0336	-0.4651
brca_metabric	MB-0339	1.7136
brca_metabric	MB-0340	-0.2492
brca_metabric	MB-0341	0.7067
brca_metabric	MB-0342	0.6257
brca_metabric	MB-0343	-0.06
brca_metabric	MB-0344	-0.2665
brca_metabric	MB-0345	-0.7066
brca_metabric	MB-0346	-0.2922
brca_metabric	MB-0348	2.8193
brca_metabric	MB-0349	1.3083
brca_metabric	MB-0350	-0.5106
brca_metabric	MB-0352	-0.2161
brca_metabric	MB-0353	-0.0281
brca_metabric	MB-0354	0.1322
brca_metabric	MB-0356	1.1507
brca_metabric	MB-0358	-0.5445
brca_metabric	MB-0359	0.2609
brca_metabric	MB-0360	-0.7847
brca_metabric	MB-0361	-0.6879
brca_metabric	MB-0362	-0.5086
brca_metabric	MB-0363	-0.3003
brca_metabric	MB-0364	2.0277
brca_metabric	MB-0365	2.2872
brca_metabric	MB-0366	0.3282
brca_metabric	MB-0367	-0.6334
brca_metabric	MB-0368	-0.5532
brca_metabric	MB-0369	-0.7689
brca_metabric	MB-0370	-0.2999
brca_metabric	MB-0371	0.6207
brca_metabric	MB-0372	-0.6082
brca_metabric	MB-0373	-0.3722
brca_metabric	MB-0374	-0.1043
brca_metabric	MB-0375	-0.8877
brca_metabric	MB-0377	-0.7469
brca_metabric	MB-0378	0.0307
brca_metabric	MB-0379	-0.7221
brca_metabric	MB-0380	-0.3703
brca_metabric	MB-0381	3.6551
brca_metabric	MB-0382	1.3208
brca_metabric	MB-0383	-0.7727
brca_metabric	MB-0384	0.0781
brca_metabric	MB-0385	-0.4982
brca_metabric	MB-0386	1.3027
brca_metabric	MB-0388	-0.4023
brca_metabric	MB-0389	-0.5134
brca_metabric	MB-0391	-0.8739
brca_metabric	MB-0392	-0.5304
brca_metabric	MB-0393	-0.5674
brca_metabric	MB-0394	0.9488
brca_metabric	MB-0395	3.0626
brca_metabric	MB-0396	-0.4608
brca_metabric	MB-0397	-0.3843
brca_metabric	MB-0398	0.3097
brca_metabric	MB-0399	-0.4798
brca_metabric	MB-0400	-0.4046
brca_metabric	MB-0401	-0.9895
brca_metabric	MB-0402	-0.2754
brca_metabric	MB-0404	-0.3084
brca_metabric	MB-0406	2.59
brca_metabric	MB-0410	-0.7198
brca_metabric	MB-0411	-0.7934
brca_metabric	MB-0412	-0.2692
brca_metabric	MB-0413	-0.107
brca_metabric	MB-0414	-0.6311
brca_metabric	MB-0417	-0.5162
brca_metabric	MB-0418	-0.766
brca_metabric	MB-0419	-0.8691
brca_metabric	MB-0420	1.2557
brca_metabric	MB-0421	0.5136
brca_metabric	MB-0422	-0.7661
brca_metabric	MB-0424	-0.6737
brca_metabric	MB-0425	2.6421
brca_metabric	MB-0426	0.7294
brca_metabric	MB-0427	-0.6711
brca_metabric	MB-0428	0.0292
brca_metabric	MB-0429	-0.049
brca_metabric	MB-0431	-0.7515
brca_metabric	MB-0434	-0.673
brca_metabric	MB-0436	-0.7454
brca_metabric	MB-0437	2.8654
brca_metabric	MB-0438	2.0887
brca_metabric	MB-0439	-0.5932
brca_metabric	MB-0440	-0.4811
brca_metabric	MB-0442	-0.8737
brca_metabric	MB-0443	-0.4125
brca_metabric	MB-0444	-0.5693
brca_metabric	MB-0445	-0.317
brca_metabric	MB-0446	-0.2307
brca_metabric	MB-0449	-0.3497
brca_metabric	MB-0451	-0.4923
brca_metabric	MB-0452	-0.7911
brca_metabric	MB-0453	3.2195
brca_metabric	MB-0454	3.0016
brca_metabric	MB-0455	-0.737
brca_metabric	MB-0458	-0.5318
brca_metabric	MB-0459	-0.4245
brca_metabric	MB-0460	1.284
brca_metabric	MB-0462	0.0836
brca_metabric	MB-0463	-0.5185
brca_metabric	MB-0464	-0.2669
brca_metabric	MB-0465	2.6474
brca_metabric	MB-0466	-0.7632
brca_metabric	MB-0467	-0.6754
brca_metabric	MB-0468	-0.421
brca_metabric	MB-0469	-0.4997
brca_metabric	MB-0470	-0.4549
brca_metabric	MB-0471	0.0858
brca_metabric	MB-0472	-0.4898
brca_metabric	MB-0474	-0.2887
brca_metabric	MB-0475	0.1828
brca_metabric	MB-0476	-0.8098
brca_metabric	MB-0478	1.0614
brca_metabric	MB-0479	-0.5878
brca_metabric	MB-0480	-0.3091
brca_metabric	MB-0481	-0.8723
brca_metabric	MB-0482	-0.0636
brca_metabric	MB-0483	-0.5708
brca_metabric	MB-0484	-0.4877
brca_metabric	MB-0485	0.0501
brca_metabric	MB-0486	0.895
brca_metabric	MB-0487	0.1721
brca_metabric	MB-0488	-0.6192
brca_metabric	MB-0489	-0.7036
brca_metabric	MB-0490	-0.4329
brca_metabric	MB-0491	-0.8651
brca_metabric	MB-0492	2.3448
brca_metabric	MB-0494	2.5155
brca_metabric	MB-0495	-0.6123
brca_metabric	MB-0496	-0.5914
brca_metabric	MB-0497	-0.7631
brca_metabric	MB-0500	-0.5334
brca_metabric	MB-0501	2.798
brca_metabric	MB-0502	-0.158
brca_metabric	MB-0503	-0.3399
brca_metabric	MB-0504	-0.4232
brca_metabric	MB-0505	-0.8026
brca_metabric	MB-0506	-0.117
brca_metabric	MB-0507	-0.1489
brca_metabric	MB-0508	-0.2625
brca_metabric	MB-0509	-0.5274
brca_metabric	MB-0510	0.3342
brca_metabric	MB-0511	-0.6054
brca_metabric	MB-0512	-0.6532
brca_metabric	MB-0513	-0.2983
brca_metabric	MB-0514	-0.853
brca_metabric	MB-0516	-0.1957
brca_metabric	MB-0517	-0.4953
brca_metabric	MB-0519	-0.8146
brca_metabric	MB-0521	-1.0331
brca_metabric	MB-0522	0.6217
brca_metabric	MB-0524	-0.2232
brca_metabric	MB-0525	0.4395
brca_metabric	MB-0526	-0.3607
brca_metabric	MB-0527	-0.2636
brca_metabric	MB-0528	-0.4054
brca_metabric	MB-0529	0.8345
brca_metabric	MB-0531	-0.7884
brca_metabric	MB-0532	-1.0214
brca_metabric	MB-0534	-0.6447
brca_metabric	MB-0535	-0.2707
brca_metabric	MB-0536	0.0552
brca_metabric	MB-0537	-0.6271
brca_metabric	MB-0538	-0.6201
brca_metabric	MB-0540	-0.4884
brca_metabric	MB-0541	-0.6132
brca_metabric	MB-0542	-0.2682
brca_metabric	MB-0544	1.7825
brca_metabric	MB-0545	-0.4869
brca_metabric	MB-0550	-0.7017
brca_metabric	MB-0551	-0.5155
brca_metabric	MB-0552	3.172
brca_metabric	MB-0553	-0.0006
brca_metabric	MB-0554	-0.0648
brca_metabric	MB-0558	-0.714
brca_metabric	MB-0559	1.1901
brca_metabric	MB-0568	-0.6967
brca_metabric	MB-0569	0.7194
brca_metabric	MB-0570	-0.3046
brca_metabric	MB-0571	-0.5027
brca_metabric	MB-0573	-0.202
brca_metabric	MB-0574	-0.572
brca_metabric	MB-0575	-0.8187
brca_metabric	MB-0576	-0.634
brca_metabric	MB-0577	-0.712
brca_metabric	MB-0578	-0.5357
brca_metabric	MB-0579	3.0076
brca_metabric	MB-0580	-0.4203
brca_metabric	MB-0581	-0.131
brca_metabric	MB-0582	-0.5548
brca_metabric	MB-0583	-0.258
brca_metabric	MB-0584	-0.6561
brca_metabric	MB-0585	-0.8023
brca_metabric	MB-0586	-0.4718
brca_metabric	MB-0587	-0.2331
brca_metabric	MB-0588	-0.5243
brca_metabric	MB-0589	3.4174
brca_metabric	MB-0590	-0.5941
brca_metabric	MB-0591	2.6372
brca_metabric	MB-0593	0.2735
brca_metabric	MB-0594	-0.1808
brca_metabric	MB-0596	-0.34
brca_metabric	MB-0597	-0.8419
brca_metabric	MB-0598	0.1462
brca_metabric	MB-0599	1.6519
brca_metabric	MB-0600	-0.6163
brca_metabric	MB-0601	-0.8788
brca_metabric	MB-0603	-0.3588
brca_metabric	MB-0605	-0.2694
brca_metabric	MB-0606	1.864
brca_metabric	MB-0607	-0.1821
brca_metabric	MB-0608	-0.8112
brca_metabric	MB-0609	-0.4768
brca_metabric	MB-0610	-0.3289
brca_metabric	MB-0611	-0.5532
brca_metabric	MB-0613	0.0592
brca_metabric	MB-0614	-0.6156
brca_metabric	MB-0615	-0.1411
brca_metabric	MB-0616	1.4914
brca_metabric	MB-0617	-0.6039
brca_metabric	MB-0618	3.0653
brca_metabric	MB-0619	3.3706
brca_metabric	MB-0620	-0.9094
brca_metabric	MB-0621	0.4213
brca_metabric	MB-0623	0.703
brca_metabric	MB-0624	-0.7896
brca_metabric	MB-0626	-0.4839
brca_metabric	MB-0627	2.6878
brca_metabric	MB-0628	-0.0378
brca_metabric	MB-0630	-0.5288
brca_metabric	MB-0631	-0.0592
brca_metabric	MB-0632	-0.3407
brca_metabric	MB-0634	-1.0093
brca_metabric	MB-0636	-0.3767
brca_metabric	MB-0637	1.1699
brca_metabric	MB-0638	-0.5919
brca_metabric	MB-0639	-0.708
brca_metabric	MB-0640	-0.766
brca_metabric	MB-0641	-0.8517
brca_metabric	MB-0642	2.913
brca_metabric	MB-0643	-0.1825
brca_metabric	MB-0644	-0.4108
brca_metabric	MB-0646	-0.2497
brca_metabric	MB-0649	-0.2074
brca_metabric	MB-0650	-0.5327
brca_metabric	MB-0652	0.639
brca_metabric	MB-0653	1.2426
brca_metabric	MB-0654	1.0556
brca_metabric	MB-0655	-0.7688
brca_metabric	MB-0656	-0.8137
brca_metabric	MB-0657	-0.6702
brca_metabric	MB-0658	-0.7662
brca_metabric	MB-0659	-0.6861
brca_metabric	MB-0660	-0.3087
brca_metabric	MB-0661	0.0731
brca_metabric	MB-0662	-0.5727
brca_metabric	MB-0663	-0.48
brca_metabric	MB-0664	-0.8341
brca_metabric	MB-0666	-0.3441
brca_metabric	MB-0869	-0.4698
brca_metabric	MB-0872	2.0856
brca_metabric	MB-0874	-0.5256
brca_metabric	MB-0877	1.2365
brca_metabric	MB-0880	-0.1939
brca_metabric	MB-0882	-0.2232
brca_metabric	MB-0884	-0.6863
brca_metabric	MB-0891	-0.2784
brca_metabric	MB-0893	-0.8489
brca_metabric	MB-0895	2.0453
brca_metabric	MB-0897	-0.4845
brca_metabric	MB-0899	0.4033
brca_metabric	MB-0901	-0.281
brca_metabric	MB-0904	0.9654
brca_metabric	MB-0906	-0.7211
brca_metabric	MB-2513	0.0027
brca_metabric	MB-2517	-0.6724
brca_metabric	MB-2536	-0.6476
brca_metabric	MB-2556	-1.0339
brca_metabric	MB-2564	-0.3432
brca_metabric	MB-2610	-0.4717
brca_metabric	MB-2613	-0.0331
brca_metabric	MB-2614	0.0669
brca_metabric	MB-2616	-0.6826
brca_metabric	MB-2617	-0.3545
brca_metabric	MB-2618	-0.4487
brca_metabric	MB-2624	-0.7028
brca_metabric	MB-2626	-0.4873
brca_metabric	MB-2629	3.3102
brca_metabric	MB-2632	0.3906
brca_metabric	MB-2634	-0.0081
brca_metabric	MB-2642	-0.435
brca_metabric	MB-2643	-0.6239
brca_metabric	MB-2645	-0.4397
brca_metabric	MB-2669	0.5121
brca_metabric	MB-2686	2.5104
brca_metabric	MB-2705	0.738
brca_metabric	MB-2708	0.0607
brca_metabric	MB-2711	0.2273
brca_metabric	MB-2712	-0.6734
brca_metabric	MB-2718	-0.4875
brca_metabric	MB-2721	-0.9332
brca_metabric	MB-2724	-0.6299
brca_metabric	MB-2725	-0.6929
brca_metabric	MB-2728	-0.5601
brca_metabric	MB-2730	-0.3006
brca_metabric	MB-2735	1.1381
brca_metabric	MB-2742	-0.6141
brca_metabric	MB-2744	-0.7366
brca_metabric	MB-2745	0.238
brca_metabric	MB-2747	0.7783
brca_metabric	MB-2749	-0.6375
brca_metabric	MB-2750	0.8792
brca_metabric	MB-2752	-0.725
brca_metabric	MB-2753	-0.4465
brca_metabric	MB-2754	1.073
brca_metabric	MB-2758	-0.592
brca_metabric	MB-2760	-0.1065
brca_metabric	MB-2763	-0.7577
brca_metabric	MB-2764	-1.0268
brca_metabric	MB-2765	-0.9552
brca_metabric	MB-2767	-0.3678
brca_metabric	MB-2769	-0.6118
brca_metabric	MB-2770	2.3759
brca_metabric	MB-2771	-0.7725
brca_metabric	MB-2772	-0.5056
brca_metabric	MB-2774	-0.5479
brca_metabric	MB-2778	-0.4386
brca_metabric	MB-2779	0.1993
brca_metabric	MB-2781	-0.4607
brca_metabric	MB-2786	0.2948
brca_metabric	MB-2790	-0.4738
brca_metabric	MB-2791	-0.7698
brca_metabric	MB-2792	-0.3345
brca_metabric	MB-2793	2.231
brca_metabric	MB-2795	-0.4339
brca_metabric	MB-2796	-0.2067
brca_metabric	MB-2797	-0.6419
brca_metabric	MB-2801	-0.771
brca_metabric	MB-2803	1.167
brca_metabric	MB-2814	-0.1464
brca_metabric	MB-2815	-0.3371
brca_metabric	MB-2819	-0.578
brca_metabric	MB-2820	-0.5019
brca_metabric	MB-2821	-0.605
brca_metabric	MB-2823	-0.4014
brca_metabric	MB-2827	-0.4485
brca_metabric	MB-2833	-0.313
brca_metabric	MB-2834	-0.0346
brca_metabric	MB-2835	-0.2577
brca_metabric	MB-2838	-0.7549
brca_metabric	MB-2840	-0.5385
brca_metabric	MB-2842	0.2508
brca_metabric	MB-2843	0.3329
brca_metabric	MB-2844	-0.5852
brca_metabric	MB-2845	-0.5182
brca_metabric	MB-2846	1.2681
brca_metabric	MB-2847	3.6619
brca_metabric	MB-2848	0.4569
brca_metabric	MB-2849	-0.1203
brca_metabric	MB-2850	-1.2046
brca_metabric	MB-2851	-0.6725
brca_metabric	MB-2853	0.2996
brca_metabric	MB-2854	-0.6249
brca_metabric	MB-2857	-0.7737
brca_metabric	MB-2858	3.0857
brca_metabric	MB-2863	-0.5389
brca_metabric	MB-2867	-0.7317
brca_metabric	MB-2895	-0.7372
brca_metabric	MB-2896	-0.713
brca_metabric	MB-2900	-0.673
brca_metabric	MB-2901	0.8877
brca_metabric	MB-2904	-0.8161
brca_metabric	MB-2912	-0.6032
brca_metabric	MB-2916	-0.7076
brca_metabric	MB-2917	-0.5365
brca_metabric	MB-2919	-0.4101
brca_metabric	MB-2922	-0.3993
brca_metabric	MB-2923	1.0245
brca_metabric	MB-2927	-0.4352
brca_metabric	MB-2929	-0.2125
brca_metabric	MB-2931	-0.4693
brca_metabric	MB-2932	-0.6917
brca_metabric	MB-2933	-0.5595
brca_metabric	MB-2939	1.6187
brca_metabric	MB-2944	-0.2241
brca_metabric	MB-2947	0.4905
brca_metabric	MB-2951	0.283
brca_metabric	MB-2952	-0.3548
brca_metabric	MB-2953	-0.6047
brca_metabric	MB-2954	2.8586
brca_metabric	MB-2957	-0.5471
brca_metabric	MB-2960	-0.4367
brca_metabric	MB-2963	-0.9201
brca_metabric	MB-2964	0.2552
brca_metabric	MB-2966	-0.6382
brca_metabric	MB-2969	-0.9848
brca_metabric	MB-2970	-0.8277
brca_metabric	MB-2971	-0.7708
brca_metabric	MB-2977	-0.6487
brca_metabric	MB-2983	-0.5501
brca_metabric	MB-2984	-0.1301
brca_metabric	MB-2990	-0.4726
brca_metabric	MB-2993	-0.2647
brca_metabric	MB-2994	-0.5226
brca_metabric	MB-2996	0.05
brca_metabric	MB-2999	-0.7343
brca_metabric	MB-3001	-0.6489
brca_metabric	MB-3002	-0.3215
brca_metabric	MB-3005	-0.4332
brca_metabric	MB-3006	-0.6947
brca_metabric	MB-3007	-0.3955
brca_metabric	MB-3008	0.6534
brca_metabric	MB-3013	-0.4586
brca_metabric	MB-3014	-0.8337
brca_metabric	MB-3016	1.5448
brca_metabric	MB-3021	0.229
brca_metabric	MB-3025	0.2996
brca_metabric	MB-3026	-0.6949
brca_metabric	MB-3028	-0.6497
