STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-0286	-0.8697
brca_metabric	MB-0287	1.7023
brca_metabric	MB-0288	-0.0381
brca_metabric	MB-0289	-1.265
brca_metabric	MB-0290	0.2028
brca_metabric	MB-0291	-1.3986
brca_metabric	MB-0292	-1.2726
brca_metabric	MB-0293	0.2808
brca_metabric	MB-0294	-0.7276
brca_metabric	MB-0295	0.1884
brca_metabric	MB-0301	-0.9345
brca_metabric	MB-0302	-0.1909
brca_metabric	MB-0303	0.1107
brca_metabric	MB-0304	-0.808
brca_metabric	MB-0305	-0.1729
brca_metabric	MB-0306	-1.4555
brca_metabric	MB-0307	0.4292
brca_metabric	MB-0308	0.0448
brca_metabric	MB-0309	-0.9312
brca_metabric	MB-0310	0.1146
brca_metabric	MB-0311	-0.1452
brca_metabric	MB-0312	2.3655
brca_metabric	MB-0313	-0.7834
brca_metabric	MB-0314	-0.3233
brca_metabric	MB-0315	-0.6109
brca_metabric	MB-0316	-0.4667
brca_metabric	MB-0317	-0.4745
brca_metabric	MB-0318	1.0856
brca_metabric	MB-0319	1.0985
brca_metabric	MB-0320	-0.0599
brca_metabric	MB-0321	0.7995
brca_metabric	MB-0322	-0.4279
brca_metabric	MB-0324	0.0901
brca_metabric	MB-0325	1.2229
brca_metabric	MB-0328	2.6809
brca_metabric	MB-0336	2.6473
brca_metabric	MB-0339	0.0615
brca_metabric	MB-0340	-1.6541
brca_metabric	MB-0341	-0.4777
brca_metabric	MB-0342	0.6022
brca_metabric	MB-0343	0.0281
brca_metabric	MB-0344	0.0779
brca_metabric	MB-0345	0.1257
brca_metabric	MB-0346	1.2192
brca_metabric	MB-0348	-0.7218
brca_metabric	MB-0349	0.1523
brca_metabric	MB-0350	1.018
brca_metabric	MB-0352	-0.5068
brca_metabric	MB-0353	-0.5992
brca_metabric	MB-0354	-0.62
brca_metabric	MB-0356	0.4493
brca_metabric	MB-0358	1.3251
brca_metabric	MB-0359	-0.4261
brca_metabric	MB-0360	-0.3748
brca_metabric	MB-0361	1.246
brca_metabric	MB-0362	-0.2334
brca_metabric	MB-0363	0.2078
brca_metabric	MB-0364	-0.9708
brca_metabric	MB-0365	-0.6585
brca_metabric	MB-0366	0.6475
brca_metabric	MB-0367	0.2355
brca_metabric	MB-0368	-0.0759
brca_metabric	MB-0369	0.1225
brca_metabric	MB-0370	1.4341
brca_metabric	MB-0371	0.2123
brca_metabric	MB-0372	1.8946
brca_metabric	MB-0373	-0.7613
brca_metabric	MB-0374	-0.4476
brca_metabric	MB-0375	-0.1367
brca_metabric	MB-0377	0.6384
brca_metabric	MB-0378	0.5262
brca_metabric	MB-0379	-1.0889
brca_metabric	MB-0380	2.9855
brca_metabric	MB-0381	-0.9539
brca_metabric	MB-0382	-0.8053
brca_metabric	MB-0383	-0.6199
brca_metabric	MB-0384	-1.055
brca_metabric	MB-0385	0.4807
brca_metabric	MB-0386	0.0437
brca_metabric	MB-0388	-0.4833
brca_metabric	MB-0389	-0.6426
brca_metabric	MB-0391	-1.1457
brca_metabric	MB-0392	1.3319
brca_metabric	MB-0393	0.9234
brca_metabric	MB-0394	-0.3917
brca_metabric	MB-0395	-0.9603
brca_metabric	MB-0396	-1.3872
brca_metabric	MB-0397	0.0297
brca_metabric	MB-0398	-0.1524
brca_metabric	MB-0399	-0.7975
brca_metabric	MB-0400	1.7411
brca_metabric	MB-0401	1.3568
brca_metabric	MB-0402	-0.3027
brca_metabric	MB-0404	0.2363
brca_metabric	MB-0406	0.4798
brca_metabric	MB-0410	-0.3943
brca_metabric	MB-0411	1.1169
brca_metabric	MB-0412	1.8079
brca_metabric	MB-0413	0.7973
brca_metabric	MB-0414	2.1508
brca_metabric	MB-0417	-0.2438
brca_metabric	MB-0418	1.6668
brca_metabric	MB-0419	0.4329
brca_metabric	MB-0420	-0.7429
brca_metabric	MB-0421	-0.4544
brca_metabric	MB-0422	0.0809
brca_metabric	MB-0424	-0.0378
brca_metabric	MB-0425	-0.7205
brca_metabric	MB-0426	-0.4113
brca_metabric	MB-0427	2.609
brca_metabric	MB-0428	2.741
brca_metabric	MB-0429	0.8834
brca_metabric	MB-0431	-1.1946
brca_metabric	MB-0434	-0.4683
brca_metabric	MB-0436	0.7242
brca_metabric	MB-0437	-0.5289
brca_metabric	MB-0438	-0.7346
brca_metabric	MB-0439	-0.4658
brca_metabric	MB-0440	0.0009
brca_metabric	MB-0442	-0.015
brca_metabric	MB-0443	-0.047
brca_metabric	MB-0444	0.7814
brca_metabric	MB-0445	1.1287
brca_metabric	MB-0446	1.4381
brca_metabric	MB-0449	0.3277
brca_metabric	MB-0451	0.0261
brca_metabric	MB-0452	1.3992
brca_metabric	MB-0453	-0.7442
brca_metabric	MB-0454	-1.1564
brca_metabric	MB-0455	-0.3148
brca_metabric	MB-0458	0.2927
brca_metabric	MB-0459	2.3543
brca_metabric	MB-0460	0.0818
brca_metabric	MB-0462	2.5383
brca_metabric	MB-0463	-0.9316
brca_metabric	MB-0464	0.2978
brca_metabric	MB-0465	-0.0037
brca_metabric	MB-0466	-1.5461
brca_metabric	MB-0467	-0.823
brca_metabric	MB-0468	0.3268
brca_metabric	MB-0469	-0.977
brca_metabric	MB-0470	-0.2899
brca_metabric	MB-0471	-0.094
brca_metabric	MB-0472	-1.2285
brca_metabric	MB-0474	-1.6293
brca_metabric	MB-0475	1.235
brca_metabric	MB-0476	0.4647
brca_metabric	MB-0478	-0.0513
brca_metabric	MB-0479	0.9649
brca_metabric	MB-0480	1.9368
brca_metabric	MB-0481	0.0228
brca_metabric	MB-0482	-0.477
brca_metabric	MB-0483	2.1039
brca_metabric	MB-0484	-0.9443
brca_metabric	MB-0485	0.2167
brca_metabric	MB-0486	-0.6252
brca_metabric	MB-0487	0.0857
brca_metabric	MB-0488	0.3604
brca_metabric	MB-0489	-0.1107
brca_metabric	MB-0490	0.6498
brca_metabric	MB-0491	-0.5478
brca_metabric	MB-0492	-0.5366
brca_metabric	MB-0494	1.1567
brca_metabric	MB-0495	-0.7285
brca_metabric	MB-0496	-0.0168
brca_metabric	MB-0497	-0.7339
brca_metabric	MB-0500	-0.2213
brca_metabric	MB-0501	-0.4348
brca_metabric	MB-0502	-0.5382
brca_metabric	MB-0503	-0.3906
brca_metabric	MB-0504	0.0106
brca_metabric	MB-0505	-0.3984
brca_metabric	MB-0506	-0.5866
brca_metabric	MB-0507	0.0496
brca_metabric	MB-0508	-0.309
brca_metabric	MB-0509	-1.2389
brca_metabric	MB-0510	2.4983
brca_metabric	MB-0511	-0.9404
brca_metabric	MB-0512	0.69
brca_metabric	MB-0513	0.7518
brca_metabric	MB-0514	-0.0386
brca_metabric	MB-0516	0.5954
brca_metabric	MB-0517	2.5224
brca_metabric	MB-0519	0.2485
brca_metabric	MB-0521	-0.187
brca_metabric	MB-0522	-1.4573
brca_metabric	MB-0524	-1.1685
brca_metabric	MB-0525	-0.2755
brca_metabric	MB-0526	1.7575
brca_metabric	MB-0527	-0.2552
brca_metabric	MB-0528	0.3897
brca_metabric	MB-0529	-0.0668
brca_metabric	MB-0531	-0.3649
brca_metabric	MB-0532	0.7871
brca_metabric	MB-0534	-0.1025
brca_metabric	MB-0535	-0.8372
brca_metabric	MB-0536	0.9842
brca_metabric	MB-0537	-0.3823
brca_metabric	MB-0538	0.8515
brca_metabric	MB-0540	-0.3871
