STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-0279	7.611592654
brca_metabric	MB-0280	6.146701881
brca_metabric	MB-0282	7.178586016
brca_metabric	MB-0284	8.711015148
brca_metabric	MB-0285	10.04677559
brca_metabric	MB-0286	7.862188131
brca_metabric	MB-0287	6.334026795
brca_metabric	MB-0288	7.115400422
brca_metabric	MB-0289	9.628288006
brca_metabric	MB-0290	6.510664757
brca_metabric	MB-0291	8.705182257
brca_metabric	MB-0292	7.878114861
brca_metabric	MB-0293	8.177717458
brca_metabric	MB-0294	6.802181569
brca_metabric	MB-0295	6.584349039
brca_metabric	MB-0301	6.864602474
brca_metabric	MB-0302	7.248488656
brca_metabric	MB-0303	8.689825643
brca_metabric	MB-0304	7.223727869
brca_metabric	MB-0305	7.223765376
brca_metabric	MB-0306	7.587769283
brca_metabric	MB-0307	6.836989108
brca_metabric	MB-0308	6.604770259
brca_metabric	MB-0309	7.133744439
brca_metabric	MB-0310	7.71291489
brca_metabric	MB-0311	7.861606621
brca_metabric	MB-0312	6.280790806
brca_metabric	MB-0313	7.767666325
brca_metabric	MB-0314	9.851495977
brca_metabric	MB-0315	6.399181965
brca_metabric	MB-0316	6.738418459
brca_metabric	MB-0317	6.313737235
brca_metabric	MB-0318	5.886913964
brca_metabric	MB-0319	5.636467823
brca_metabric	MB-0320	7.150611455
brca_metabric	MB-0321	7.884045931
brca_metabric	MB-0322	8.318333089
brca_metabric	MB-0324	6.338772739
brca_metabric	MB-0325	6.234113261
brca_metabric	MB-0328	7.547820832
brca_metabric	MB-0336	7.006262889
brca_metabric	MB-0339	5.732295933
brca_metabric	MB-0340	9.328518912
brca_metabric	MB-0341	8.030396913
brca_metabric	MB-0342	7.391853969
brca_metabric	MB-0343	6.221279167
brca_metabric	MB-0344	7.890636253
brca_metabric	MB-0345	6.945023982
brca_metabric	MB-0346	8.736687841
brca_metabric	MB-0348	6.208696332
brca_metabric	MB-0349	6.313837102
brca_metabric	MB-0350	9.951494669
brca_metabric	MB-0352	8.638495057
brca_metabric	MB-0353	5.984971758
brca_metabric	MB-0354	6.898968018
brca_metabric	MB-0356	6.871661528
brca_metabric	MB-0358	7.903265932
brca_metabric	MB-0359	6.710099084
brca_metabric	MB-0360	6.353846964
brca_metabric	MB-0361	7.539312633
brca_metabric	MB-0362	6.819313848
brca_metabric	MB-0363	5.770399553
brca_metabric	MB-0364	6.843942778
brca_metabric	MB-0365	6.684417458
brca_metabric	MB-0366	6.826544327
brca_metabric	MB-0367	7.215960189
brca_metabric	MB-0368	5.946903137
brca_metabric	MB-0369	7.403924233
brca_metabric	MB-0370	7.094291928
brca_metabric	MB-0371	8.839716325
brca_metabric	MB-0372	7.783718189
brca_metabric	MB-0373	6.140634062
brca_metabric	MB-0374	6.64716303
brca_metabric	MB-0375	6.361428475
brca_metabric	MB-0377	7.604453468
brca_metabric	MB-0378	10.62494508
brca_metabric	MB-0379	8.033079449
brca_metabric	MB-0380	5.694751869
brca_metabric	MB-0381	7.59036379
brca_metabric	MB-0382	6.345571337
brca_metabric	MB-0383	9.367738266
brca_metabric	MB-0384	6.494232199
brca_metabric	MB-0385	6.453705676
brca_metabric	MB-0386	8.008267888
brca_metabric	MB-0388	6.86364754
brca_metabric	MB-0389	5.997596269
brca_metabric	MB-0391	7.226279057
brca_metabric	MB-0392	7.837239426
brca_metabric	MB-0393	8.031458653
brca_metabric	MB-0394	6.429313059
brca_metabric	MB-0395	6.231436523
brca_metabric	MB-0396	6.863621528
brca_metabric	MB-0397	8.92297501
brca_metabric	MB-0398	6.604241611
brca_metabric	MB-0399	7.128097146
brca_metabric	MB-0400	7.294918162
brca_metabric	MB-0401	7.720950717
brca_metabric	MB-0402	7.638114341
brca_metabric	MB-0404	6.840707457
brca_metabric	MB-0406	5.678553279
brca_metabric	MB-0410	6.314457123
brca_metabric	MB-0411	5.905418407
brca_metabric	MB-0412	6.791331071
brca_metabric	MB-0413	6.081020557
brca_metabric	MB-0414	6.606620414
brca_metabric	MB-0417	7.310491322
brca_metabric	MB-0418	6.280340727
brca_metabric	MB-0419	8.378175327
brca_metabric	MB-0420	7.031635833
brca_metabric	MB-0421	6.757439225
brca_metabric	MB-0422	7.13508623
brca_metabric	MB-0424	8.107085253
brca_metabric	MB-0425	6.180908412
brca_metabric	MB-0426	6.917859788
brca_metabric	MB-0427	8.174690525
brca_metabric	MB-0428	7.388812555
brca_metabric	MB-0429	7.631219517
brca_metabric	MB-0431	8.845471601
brca_metabric	MB-0434	7.353310092
brca_metabric	MB-0436	8.506878685
brca_metabric	MB-0437	6.616248923
brca_metabric	MB-0438	5.799470467
brca_metabric	MB-0439	5.848067659
brca_metabric	MB-0440	6.652326727
brca_metabric	MB-0442	7.311607474
brca_metabric	MB-0443	6.583097002
brca_metabric	MB-0444	6.182653924
brca_metabric	MB-0445	7.263900974
brca_metabric	MB-0446	10.36701942
brca_metabric	MB-0449	6.994735499
brca_metabric	MB-0451	6.589294526
brca_metabric	MB-0452	7.217964199
brca_metabric	MB-0453	6.237432683
brca_metabric	MB-0454	6.275683387
brca_metabric	MB-0455	7.61775129
brca_metabric	MB-0458	7.052280081
brca_metabric	MB-0459	7.001048345
brca_metabric	MB-0460	9.189917834
brca_metabric	MB-0462	5.728398579
brca_metabric	MB-0463	5.870753861
brca_metabric	MB-0464	6.960433838
brca_metabric	MB-0465	7.283676636
brca_metabric	MB-0466	6.433286777
brca_metabric	MB-0467	8.55468685
brca_metabric	MB-0468	5.640204948
brca_metabric	MB-0469	7.534470441
brca_metabric	MB-0470	8.930394203
brca_metabric	MB-0471	5.51120881
brca_metabric	MB-0472	5.608614138
brca_metabric	MB-0474	6.180102472
brca_metabric	MB-0475	7.168250221
brca_metabric	MB-0476	7.240717168
brca_metabric	MB-0478	8.673677359
brca_metabric	MB-0479	6.792639982
brca_metabric	MB-0480	6.215346263
brca_metabric	MB-0481	7.492242443
brca_metabric	MB-0482	7.725465343
brca_metabric	MB-0483	5.909907705
brca_metabric	MB-0484	5.528578497
brca_metabric	MB-0485	6.266972185
brca_metabric	MB-0486	6.515185871
brca_metabric	MB-0487	8.762897588
brca_metabric	MB-0488	7.966092507
brca_metabric	MB-0489	6.800906457
brca_metabric	MB-0490	6.685027653
brca_metabric	MB-0491	5.928047615
brca_metabric	MB-0492	8.436644741
brca_metabric	MB-0494	9.803444839
brca_metabric	MB-0495	9.809683946
brca_metabric	MB-0496	8.029516527
brca_metabric	MB-0497	6.450049693
brca_metabric	MB-0500	8.354208723
brca_metabric	MB-0501	6.255035763
brca_metabric	MB-0502	9.996456807
brca_metabric	MB-0503	6.942813836
brca_metabric	MB-0504	6.697630835
brca_metabric	MB-0505	6.497169231
brca_metabric	MB-0506	7.549870004
brca_metabric	MB-0507	7.719839075
brca_metabric	MB-0508	6.998592728
brca_metabric	MB-0509	7.173821436
brca_metabric	MB-0510	7.028799886
brca_metabric	MB-0511	9.140053256
brca_metabric	MB-0512	5.836723142
brca_metabric	MB-0513	6.663249019
brca_metabric	MB-0514	5.717011223
brca_metabric	MB-0516	7.986724233
brca_metabric	MB-0517	5.667801936
brca_metabric	MB-0519	6.99325062
brca_metabric	MB-0521	6.807064616
brca_metabric	MB-0522	7.150480516
brca_metabric	MB-0524	8.218484359
brca_metabric	MB-0525	10.89345869
brca_metabric	MB-0526	7.138790216
brca_metabric	MB-0527	7.110962061
brca_metabric	MB-0528	5.958880546
brca_metabric	MB-0529	6.08393576
brca_metabric	MB-0531	7.92847856
brca_metabric	MB-0532	5.785020824
brca_metabric	MB-0534	8.140771331
brca_metabric	MB-0535	6.632735785
brca_metabric	MB-0536	7.904982502
brca_metabric	MB-0537	8.447084776
brca_metabric	MB-0538	7.785351395
brca_metabric	MB-0540	6.367797207
brca_metabric	MB-0541	6.052112731
brca_metabric	MB-0542	6.63352601
brca_metabric	MB-0544	7.153106236
brca_metabric	MB-0545	8.459802705
brca_metabric	MB-0550	7.487870144
brca_metabric	MB-0551	7.840281085
brca_metabric	MB-0552	6.572393338
brca_metabric	MB-0553	5.985814202
brca_metabric	MB-0554	7.776602166
brca_metabric	MB-0558	8.723996125
brca_metabric	MB-0559	6.932445806
brca_metabric	MB-0568	6.804194149
brca_metabric	MB-0569	6.457788971
brca_metabric	MB-0570	5.977911449
brca_metabric	MB-0571	7.32078142
brca_metabric	MB-0573	7.389221845
brca_metabric	MB-0574	6.183046464
brca_metabric	MB-0575	6.460513098
brca_metabric	MB-0576	6.2966346
brca_metabric	MB-0577	6.00094929
brca_metabric	MB-0578	7.664042079
brca_metabric	MB-0579	6.482238025
brca_metabric	MB-0580	5.952931476
brca_metabric	MB-0581	9.761486575
brca_metabric	MB-0582	8.083118179
brca_metabric	MB-0583	6.350878894
brca_metabric	MB-0584	6.050952407
brca_metabric	MB-0585	5.529519752
brca_metabric	MB-0586	6.55503973
brca_metabric	MB-0587	7.694761823
brca_metabric	MB-0588	7.084275511
brca_metabric	MB-0589	6.782436698
brca_metabric	MB-0590	7.851904027
brca_metabric	MB-0591	6.109475024
brca_metabric	MB-0593	6.015961093
brca_metabric	MB-0594	5.928424027
brca_metabric	MB-0596	6.595434183
brca_metabric	MB-0597	8.513723031
brca_metabric	MB-0598	7.299265528
brca_metabric	MB-0599	6.577013618
brca_metabric	MB-0600	6.094160904
brca_metabric	MB-0601	7.850098228
brca_metabric	MB-0603	6.244399835
brca_metabric	MB-0605	7.416304345
brca_metabric	MB-0606	5.713642534
brca_metabric	MB-0607	7.694514643
brca_metabric	MB-0608	6.625953185
brca_metabric	MB-0609	5.94956677
brca_metabric	MB-0610	6.027379191
brca_metabric	MB-0611	6.317721149
brca_metabric	MB-0613	8.488830214
brca_metabric	MB-0614	7.371359518
brca_metabric	MB-0615	8.263358824
brca_metabric	MB-0616	5.86077393
brca_metabric	MB-0617	6.071584069
brca_metabric	MB-0618	6.055523229
brca_metabric	MB-0619	6.344907493
brca_metabric	MB-0620	8.083144804
brca_metabric	MB-0621	7.42779644
brca_metabric	MB-0623	6.935435695
brca_metabric	MB-0624	8.210001405
brca_metabric	MB-0626	7.078373191
brca_metabric	MB-0627	8.510992745
brca_metabric	MB-0628	5.932717825
brca_metabric	MB-0630	6.161387633
brca_metabric	MB-0631	7.104413176
brca_metabric	MB-0632	6.898973616
brca_metabric	MB-0634	7.261365616
brca_metabric	MB-0636	7.895472055
brca_metabric	MB-0637	6.95355555
brca_metabric	MB-0638	7.1861353
brca_metabric	MB-0639	7.514104777
brca_metabric	MB-0640	7.211776038
brca_metabric	MB-0641	8.02928983
brca_metabric	MB-0642	6.068685879
brca_metabric	MB-0643	9.46150639
brca_metabric	MB-0644	9.283367729
brca_metabric	MB-0646	7.121909792
brca_metabric	MB-0649	6.801497942
brca_metabric	MB-0650	6.94540695
brca_metabric	MB-0652	5.97052966
brca_metabric	MB-0653	7.49984741
brca_metabric	MB-0654	6.10231939
brca_metabric	MB-0655	6.738392495
brca_metabric	MB-0656	8.440957082
brca_metabric	MB-0657	8.792395252
brca_metabric	MB-0658	7.725032327
brca_metabric	MB-0659	9.336695737
brca_metabric	MB-0660	10.12833295
brca_metabric	MB-0661	6.002381225
brca_metabric	MB-0662	6.781961225
brca_metabric	MB-0663	7.872836549
brca_metabric	MB-0664	8.460449798
brca_metabric	MB-0666	6.093716577
brca_metabric	MB-0869	9.416377004
brca_metabric	MB-0872	6.623253636
brca_metabric	MB-0874	9.217014239
brca_metabric	MB-0877	7.271255064
brca_metabric	MB-0880	7.427730605
brca_metabric	MB-0882	5.874794696
brca_metabric	MB-0884	5.312705537
brca_metabric	MB-0891	8.428850921
brca_metabric	MB-0893	10.18348634
brca_metabric	MB-0895	6.263675124
brca_metabric	MB-0897	6.917025243
brca_metabric	MB-0899	7.793120717
brca_metabric	MB-0901	8.125968833
brca_metabric	MB-0904	7.532934886
brca_metabric	MB-0906	7.743549847
brca_metabric	MB-2513	7.266195108
brca_metabric	MB-2517	7.773700756
brca_metabric	MB-2536	7.250046427
brca_metabric	MB-2556	7.835921025
brca_metabric	MB-2564	7.096062337
brca_metabric	MB-2610	7.979600015
brca_metabric	MB-2613	9.342174015
brca_metabric	MB-2614	7.151055452
brca_metabric	MB-2616	6.430760195
brca_metabric	MB-2617	6.726214025
brca_metabric	MB-2618	7.005880872
brca_metabric	MB-2624	7.139502927
brca_metabric	MB-2626	7.767801075
brca_metabric	MB-2629	6.867162838
brca_metabric	MB-2632	6.149532326
brca_metabric	MB-2634	6.943612524
brca_metabric	MB-2642	7.098225036
brca_metabric	MB-2643	9.790744041
brca_metabric	MB-2645	6.6286298
brca_metabric	MB-2669	6.344148478
brca_metabric	MB-2686	6.054324639
brca_metabric	MB-2705	7.472835383
brca_metabric	MB-2708	7.47167859
brca_metabric	MB-2711	6.513362099
brca_metabric	MB-2712	6.408147194
brca_metabric	MB-2718	6.328860079
brca_metabric	MB-2721	6.673910776
brca_metabric	MB-2724	6.919065513
brca_metabric	MB-2725	8.376589976
brca_metabric	MB-2728	6.393474269
brca_metabric	MB-2730	5.827821679
brca_metabric	MB-2735	6.175319566
brca_metabric	MB-2742	9.872715299
brca_metabric	MB-2744	7.653384536
brca_metabric	MB-2745	6.659840303
brca_metabric	MB-2747	7.030306831
brca_metabric	MB-2749	7.789145105
brca_metabric	MB-2750	7.030446783
brca_metabric	MB-2752	6.80054651
brca_metabric	MB-2753	9.079591767
brca_metabric	MB-2754	6.62442032
brca_metabric	MB-2758	7.404256684
brca_metabric	MB-2760	7.820386369
brca_metabric	MB-2763	6.873776649
brca_metabric	MB-2764	8.440312623
brca_metabric	MB-2765	8.075198047
brca_metabric	MB-2767	6.488276611
brca_metabric	MB-2769	6.258552935
brca_metabric	MB-2770	6.458198396
brca_metabric	MB-2771	7.640209181
brca_metabric	MB-2772	6.842158008
brca_metabric	MB-2774	7.165055456
brca_metabric	MB-2778	6.756117033
brca_metabric	MB-2779	6.201580235
brca_metabric	MB-2781	8.484978714
brca_metabric	MB-2786	7.555778211
brca_metabric	MB-2790	6.212684551
brca_metabric	MB-2791	7.376994035
brca_metabric	MB-2792	6.449401908
brca_metabric	MB-2793	5.578888107
brca_metabric	MB-2795	6.671784064
brca_metabric	MB-2796	9.20708074
brca_metabric	MB-2797	6.233105058
brca_metabric	MB-2801	7.279218709
brca_metabric	MB-2803	7.149424834
brca_metabric	MB-2814	7.022183797
brca_metabric	MB-2815	7.816733831
brca_metabric	MB-2819	6.978726402
brca_metabric	MB-2820	7.719032792
brca_metabric	MB-2821	7.77748996
brca_metabric	MB-2823	8.439290339
brca_metabric	MB-2827	7.289920536
brca_metabric	MB-2833	8.567495676
brca_metabric	MB-2834	5.747863293
brca_metabric	MB-2835	7.254548712
brca_metabric	MB-2838	6.981796486
brca_metabric	MB-2840	6.671509525
brca_metabric	MB-2842	7.957321111
brca_metabric	MB-2843	7.47195161
brca_metabric	MB-2844	7.325894693
brca_metabric	MB-2845	8.476026706
brca_metabric	MB-2846	7.106101272
brca_metabric	MB-2847	6.594849193
brca_metabric	MB-2848	6.918975453
brca_metabric	MB-2849	9.840029027
brca_metabric	MB-2850	8.152619375
brca_metabric	MB-2851	7.542366724
brca_metabric	MB-2853	6.680176081
brca_metabric	MB-2854	6.668285591
brca_metabric	MB-2857	6.365383509
brca_metabric	MB-2858	6.02420482
brca_metabric	MB-2863	6.228864237
brca_metabric	MB-2867	7.057677509
brca_metabric	MB-2895	6.780595417
brca_metabric	MB-2896	7.650506688
brca_metabric	MB-2900	8.290323466
brca_metabric	MB-2901	6.114820956
brca_metabric	MB-2904	6.38742503
brca_metabric	MB-2912	6.231782959
brca_metabric	MB-2916	7.080796682
brca_metabric	MB-2917	7.860316227
brca_metabric	MB-2919	6.652147229
brca_metabric	MB-2922	8.341190544
brca_metabric	MB-2923	6.500190043
brca_metabric	MB-2927	6.277882208
brca_metabric	MB-2929	7.587351282
brca_metabric	MB-2931	7.291231008
brca_metabric	MB-2932	6.162456253
brca_metabric	MB-2933	6.754290691
brca_metabric	MB-2939	7.953193868
brca_metabric	MB-2944	6.861447346
brca_metabric	MB-2947	7.188820487
brca_metabric	MB-2951	7.036046891
brca_metabric	MB-2952	6.6413676
brca_metabric	MB-2953	6.382979453
brca_metabric	MB-2954	7.010111395
brca_metabric	MB-2957	8.860034649
brca_metabric	MB-2960	7.78510846
brca_metabric	MB-2963	8.479075271
brca_metabric	MB-2964	7.009288633
brca_metabric	MB-2966	7.528975717
brca_metabric	MB-2969	6.681793984
brca_metabric	MB-2970	6.698420499
brca_metabric	MB-2971	7.137613774
brca_metabric	MB-2977	6.491701279
brca_metabric	MB-2983	6.566238232
brca_metabric	MB-2984	6.152268383
brca_metabric	MB-2990	6.521571643
brca_metabric	MB-2993	8.247545914
brca_metabric	MB-2994	8.02643688
brca_metabric	MB-2996	6.432642198
brca_metabric	MB-2999	8.04446379
brca_metabric	MB-3001	7.130462266
brca_metabric	MB-3002	6.911807262
brca_metabric	MB-3005	7.057566135
brca_metabric	MB-3006	9.285709169
brca_metabric	MB-3007	7.445446466
brca_metabric	MB-3008	7.48651844
brca_metabric	MB-3013	7.716416676
brca_metabric	MB-3014	7.372532484
brca_metabric	MB-3016	6.757049192
brca_metabric	MB-3021	7.264600296
brca_metabric	MB-3025	10.09710274
brca_metabric	MB-3026	7.043975108
brca_metabric	MB-3028	5.95480079
brca_metabric	MB-3031	6.517941931
