STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-0286	0.9144
brca_metabric	MB-0287	-0.7387
brca_metabric	MB-0288	0.1455
brca_metabric	MB-0289	2.5016
brca_metabric	MB-0290	-0.5308
brca_metabric	MB-0291	1.708
brca_metabric	MB-0292	0.9301
brca_metabric	MB-0293	1.2199
brca_metabric	MB-0294	-0.1983
brca_metabric	MB-0295	-0.4456
brca_metabric	MB-0301	-0.1287
brca_metabric	MB-0302	0.2876
brca_metabric	MB-0303	1.6942
brca_metabric	MB-0304	0.2613
brca_metabric	MB-0305	0.2614
brca_metabric	MB-0306	0.6396
brca_metabric	MB-0307	-0.1594
brca_metabric	MB-0308	-0.4221
brca_metabric	MB-0309	0.1652
brca_metabric	MB-0310	0.766
brca_metabric	MB-0311	0.9138
brca_metabric	MB-0312	-0.8023
brca_metabric	MB-0313	0.8207
brca_metabric	MB-0314	2.6831
brca_metabric	MB-0315	-0.6615
brca_metabric	MB-0316	-0.2699
brca_metabric	MB-0317	-0.7629
brca_metabric	MB-0318	-1.2881
brca_metabric	MB-0319	-1.6116
brca_metabric	MB-0320	0.1833
brca_metabric	MB-0321	0.9359
brca_metabric	MB-0322	1.3527
brca_metabric	MB-0324	-0.7331
brca_metabric	MB-0325	-0.8585
brca_metabric	MB-0328	0.5989
brca_metabric	MB-0336	0.0273
brca_metabric	MB-0339	-1.4864
brca_metabric	MB-0340	2.2517
brca_metabric	MB-0341	1.0786
brca_metabric	MB-0342	0.4381
brca_metabric	MB-0343	-0.874
brca_metabric	MB-0344	0.9424
brca_metabric	MB-0345	-0.0398
brca_metabric	MB-0346	1.7363
brca_metabric	MB-0348	-0.8892
brca_metabric	MB-0349	-0.7628
brca_metabric	MB-0350	2.7632
brca_metabric	MB-0352	1.6478
brca_metabric	MB-0353	-1.1646
brca_metabric	MB-0354	-0.0906
brca_metabric	MB-0356	-0.1208
brca_metabric	MB-0358	0.9548
brca_metabric	MB-0359	-0.3019
brca_metabric	MB-0360	-0.7151
brca_metabric	MB-0361	0.5902
brca_metabric	MB-0362	-0.1791
brca_metabric	MB-0363	-1.4371
brca_metabric	MB-0364	-0.1516
brca_metabric	MB-0365	-0.3311
brca_metabric	MB-0366	-0.171
brca_metabric	MB-0367	0.2531
brca_metabric	MB-0368	-1.2123
brca_metabric	MB-0369	0.4506
brca_metabric	MB-0370	0.1228
brca_metabric	MB-0371	1.8282
brca_metabric	MB-0372	0.8367
brca_metabric	MB-0373	-0.9721
brca_metabric	MB-0374	-0.3735
brca_metabric	MB-0375	-0.7061
brca_metabric	MB-0377	0.6566
brca_metabric	MB-0378	3.2844
brca_metabric	MB-0379	1.0812
brca_metabric	MB-0380	-1.5353
brca_metabric	MB-0381	0.6423
brca_metabric	MB-0382	-0.725
brca_metabric	MB-0383	2.2848
brca_metabric	MB-0384	-0.55
brca_metabric	MB-0385	-0.5973
brca_metabric	MB-0386	1.0572
brca_metabric	MB-0388	-0.1297
brca_metabric	MB-0389	-1.1488
brca_metabric	MB-0391	0.264
brca_metabric	MB-0392	0.8897
brca_metabric	MB-0393	1.0796
brca_metabric	MB-0394	-0.626
brca_metabric	MB-0395	-0.8617
brca_metabric	MB-0396	-0.1297
brca_metabric	MB-0397	1.9018
brca_metabric	MB-0398	-0.4227
brca_metabric	MB-0399	0.1592
brca_metabric	MB-0400	0.3366
brca_metabric	MB-0401	0.7741
brca_metabric	MB-0402	0.6907
brca_metabric	MB-0404	-0.1552
brca_metabric	MB-0406	-1.5564
brca_metabric	MB-0410	-0.762
brca_metabric	MB-0411	-1.2647
brca_metabric	MB-0412	-0.2104
brca_metabric	MB-0413	-1.0453
brca_metabric	MB-0414	-0.42
