STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-0279	6.552925371
brca_metabric	MB-0280	5.358276591
brca_metabric	MB-0282	5.482308855
brca_metabric	MB-0284	6.777493574
brca_metabric	MB-0285	5.808203499
brca_metabric	MB-0286	7.200861542
brca_metabric	MB-0287	6.917360485
brca_metabric	MB-0288	6.295281387
brca_metabric	MB-0289	6.367612718
brca_metabric	MB-0290	6.760800801
brca_metabric	MB-0291	7.458054734
brca_metabric	MB-0292	6.630786897
brca_metabric	MB-0293	6.126778512
brca_metabric	MB-0294	6.176198663
brca_metabric	MB-0295	5.73420171
brca_metabric	MB-0301	6.399439614
brca_metabric	MB-0302	6.226521463
brca_metabric	MB-0303	6.187139056
brca_metabric	MB-0304	5.490233411
brca_metabric	MB-0305	6.188155008
brca_metabric	MB-0306	6.527680566
brca_metabric	MB-0307	5.668720446
brca_metabric	MB-0308	5.44787833
brca_metabric	MB-0309	5.948452312
brca_metabric	MB-0310	5.470940617
brca_metabric	MB-0311	6.972617479
brca_metabric	MB-0312	6.496220114
brca_metabric	MB-0313	6.678142077
brca_metabric	MB-0314	6.875130752
brca_metabric	MB-0315	6.734717252
brca_metabric	MB-0316	6.284461585
brca_metabric	MB-0317	6.232256846
brca_metabric	MB-0318	5.602488409
brca_metabric	MB-0319	5.544250656
brca_metabric	MB-0320	5.563951655
brca_metabric	MB-0321	5.635163511
brca_metabric	MB-0322	6.313145427
brca_metabric	MB-0324	5.400619972
brca_metabric	MB-0325	5.884251633
brca_metabric	MB-0328	5.897530129
brca_metabric	MB-0336	6.378553089
brca_metabric	MB-0339	5.509483813
brca_metabric	MB-0340	5.727662748
brca_metabric	MB-0341	6.700841205
brca_metabric	MB-0342	5.34717272
brca_metabric	MB-0343	5.543808591
brca_metabric	MB-0344	5.622633463
brca_metabric	MB-0345	6.057877986
brca_metabric	MB-0346	5.707461281
brca_metabric	MB-0348	5.794776957
brca_metabric	MB-0349	6.072818658
brca_metabric	MB-0350	6.182929209
brca_metabric	MB-0352	6.554098768
brca_metabric	MB-0353	6.397864126
brca_metabric	MB-0354	6.676361007
brca_metabric	MB-0356	6.34358056
brca_metabric	MB-0358	6.953628964
brca_metabric	MB-0359	6.03413949
brca_metabric	MB-0360	6.947107357
brca_metabric	MB-0361	7.100018003
brca_metabric	MB-0362	6.971877284
brca_metabric	MB-0363	5.606748341
brca_metabric	MB-0364	6.628082008
brca_metabric	MB-0365	6.905949453
brca_metabric	MB-0366	5.965215464
brca_metabric	MB-0367	5.965281943
brca_metabric	MB-0368	5.499022712
brca_metabric	MB-0369	5.620313951
brca_metabric	MB-0370	5.52604923
brca_metabric	MB-0371	6.632307025
brca_metabric	MB-0372	5.608319797
brca_metabric	MB-0373	6.22491355
brca_metabric	MB-0374	6.775510849
brca_metabric	MB-0375	6.036772313
brca_metabric	MB-0377	5.743301501
brca_metabric	MB-0378	6.345236002
brca_metabric	MB-0379	6.465198435
brca_metabric	MB-0380	8.185829692
brca_metabric	MB-0381	7.584964497
brca_metabric	MB-0382	6.308448042
brca_metabric	MB-0383	6.874208525
brca_metabric	MB-0384	6.791171872
brca_metabric	MB-0385	5.882364398
brca_metabric	MB-0386	6.377938323
