STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-0286	2.4238
brca_metabric	MB-0287	1.8922
brca_metabric	MB-0288	0.6559
brca_metabric	MB-0289	0.805
brca_metabric	MB-0290	1.5905
brca_metabric	MB-0291	2.8903
brca_metabric	MB-0292	1.3352
brca_metabric	MB-0293	0.3029
brca_metabric	MB-0294	0.4073
brca_metabric	MB-0295	-0.5532
brca_metabric	MB-0301	0.8701
brca_metabric	MB-0302	0.5129
brca_metabric	MB-0303	0.4303
brca_metabric	MB-0304	-1.1107
brca_metabric	MB-0305	0.4324
brca_metabric	MB-0306	1.1297
brca_metabric	MB-0307	-0.7008
brca_metabric	MB-0308	-1.2096
brca_metabric	MB-0309	-0.08
brca_metabric	MB-0310	-1.1556
brca_metabric	MB-0311	1.9973
brca_metabric	MB-0312	1.0664
brca_metabric	MB-0313	1.4287
brca_metabric	MB-0314	1.8114
brca_metabric	MB-0315	1.5396
brca_metabric	MB-0316	0.6335
brca_metabric	MB-0317	0.5248
brca_metabric	MB-0318	-0.8516
brca_metabric	MB-0319	-0.9854
brca_metabric	MB-0320	-0.94
brca_metabric	MB-0321	-0.777
brca_metabric	MB-0322	0.6929
brca_metabric	MB-0324	-1.3207
brca_metabric	MB-0325	-0.2202
brca_metabric	MB-0328	-0.1911
brca_metabric	MB-0336	0.8274
brca_metabric	MB-0339	-1.0659
brca_metabric	MB-0340	-0.5678
brca_metabric	MB-0341	1.4733
brca_metabric	MB-0342	-1.4474
brca_metabric	MB-0343	-0.9865
brca_metabric	MB-0344	-0.8056
brca_metabric	MB-0345	0.1561
brca_metabric	MB-0346	-0.6133
brca_metabric	MB-0348	-0.4179
brca_metabric	MB-0349	0.188
brca_metabric	MB-0350	0.4214
brca_metabric	MB-0352	1.1826
brca_metabric	MB-0353	0.8669
brca_metabric	MB-0354	1.4252
brca_metabric	MB-0356	0.7556
brca_metabric	MB-0358	1.9613
brca_metabric	MB-0359	0.1052
brca_metabric	MB-0360	1.9489
brca_metabric	MB-0361	2.2368
brca_metabric	MB-0362	1.9959
brca_metabric	MB-0363	-0.8418
brca_metabric	MB-0364	1.3299
brca_metabric	MB-0365	1.8705
brca_metabric	MB-0366	-0.0436
brca_metabric	MB-0367	-0.0434
brca_metabric	MB-0368	-1.0902
brca_metabric	MB-0369	-0.8109
brca_metabric	MB-0370	-1.0275
brca_metabric	MB-0371	1.3383
brca_metabric	MB-0372	-0.8382
brca_metabric	MB-0373	0.5095
brca_metabric	MB-0374	1.6191
brca_metabric	MB-0375	0.1109
brca_metabric	MB-0377	-0.5328
brca_metabric	MB-0378	0.759
brca_metabric	MB-0379	1.0038
brca_metabric	MB-0380	4.1374
brca_metabric	MB-0381	3.1153
brca_metabric	MB-0382	0.6832
brca_metabric	MB-0383	1.8097
brca_metabric	MB-0384	1.6495
brca_metabric	MB-0385	-0.2244
brca_metabric	MB-0386	0.8261
brca_metabric	MB-0388	-0.6092
brca_metabric	MB-0389	1.6586
brca_metabric	MB-0391	0.2038
brca_metabric	MB-0392	0.5936
brca_metabric	MB-0393	-0.6089
brca_metabric	MB-0394	0.0118
brca_metabric	MB-0395	1.664
brca_metabric	MB-0396	-0.1594
brca_metabric	MB-0397	-0.1942
brca_metabric	MB-0398	1.5665
brca_metabric	MB-0399	1.8752
brca_metabric	MB-0400	2.5421
brca_metabric	MB-0401	1.7436
brca_metabric	MB-0402	1.4654
brca_metabric	MB-0404	1.4124
brca_metabric	MB-0406	0.9507
brca_metabric	MB-0410	-0.4986
brca_metabric	MB-0411	-0.167
brca_metabric	MB-0412	0.9736
brca_metabric	MB-0413	-0.4999
brca_metabric	MB-0414	-0.4242
brca_metabric	MB-0417	-0.837
brca_metabric	MB-0418	0.4572
brca_metabric	MB-0419	0.3649
brca_metabric	MB-0420	1.0541
brca_metabric	MB-0421	2.8074
brca_metabric	MB-0422	-0.0548
brca_metabric	MB-0424	0.9299
brca_metabric	MB-0425	3.4594
brca_metabric	MB-0426	0.0569
brca_metabric	MB-0427	-1.2514
brca_metabric	MB-0428	0.2105
brca_metabric	MB-0429	-0.3654
brca_metabric	MB-0431	1.2261
brca_metabric	MB-0434	1.1524
brca_metabric	MB-0436	1.424
brca_metabric	MB-0437	0.3051
brca_metabric	MB-0438	0.8068
brca_metabric	MB-0439	-0.8835
brca_metabric	MB-0440	0.0484
brca_metabric	MB-0442	1.4363
brca_metabric	MB-0443	-0.612
brca_metabric	MB-0444	0.7076
brca_metabric	MB-0445	0.6447
brca_metabric	MB-0446	2.8841
brca_metabric	MB-0449	-0.634
brca_metabric	MB-0451	-1.4332
brca_metabric	MB-0452	2.9279
brca_metabric	MB-0453	-0.0432
brca_metabric	MB-0454	-0.3486
brca_metabric	MB-0455	-0.5574
brca_metabric	MB-0458	-1.0138
brca_metabric	MB-0459	0.9459
brca_metabric	MB-0460	1.6977
brca_metabric	MB-0462	1.6576
brca_metabric	MB-0463	2.8722
brca_metabric	MB-0464	0.7938
brca_metabric	MB-0465	2.7364
brca_metabric	MB-0466	-0.2815
brca_metabric	MB-0467	4.0463
brca_metabric	MB-0468	-0.8101
brca_metabric	MB-0469	-0.2181
brca_metabric	MB-0470	-0.6837
brca_metabric	MB-0471	-0.9989
brca_metabric	MB-0472	-0.5975
brca_metabric	MB-0474	0.301
brca_metabric	MB-0475	1.0393
brca_metabric	MB-0476	-0.6655
brca_metabric	MB-0478	-0.1646
brca_metabric	MB-0479	0.4523
brca_metabric	MB-0480	0.996
brca_metabric	MB-0481	0.2628
brca_metabric	MB-0482	0.4684
brca_metabric	MB-0483	-0.465
brca_metabric	MB-0484	0.834
brca_metabric	MB-0485	-0.8237
brca_metabric	MB-0486	-0.2127
brca_metabric	MB-0487	-1.1073
brca_metabric	MB-0488	-0.4128
brca_metabric	MB-0489	-0.4473
brca_metabric	MB-0490	0.1411
brca_metabric	MB-0491	1.5029
brca_metabric	MB-0492	-1.1987
brca_metabric	MB-0494	1.9807
brca_metabric	MB-0495	3.9069
brca_metabric	MB-0496	0.0201
brca_metabric	MB-0497	-0.7883
brca_metabric	MB-0500	1.5327
brca_metabric	MB-0501	-0.335
brca_metabric	MB-0502	1.0061
brca_metabric	MB-0503	0.4808
brca_metabric	MB-0504	0.4177
brca_metabric	MB-0505	0.6137
brca_metabric	MB-0506	0.7024
brca_metabric	MB-0507	0.8774
brca_metabric	MB-0508	-0.0455
brca_metabric	MB-0509	-1.1122
brca_metabric	MB-0510	-0.9928
brca_metabric	MB-0511	2.4915
brca_metabric	MB-0512	2.9754
brca_metabric	MB-0513	0.5448
brca_metabric	MB-0514	2.1969
brca_metabric	MB-0516	2.4754
brca_metabric	MB-0517	-0.7372
brca_metabric	MB-0519	-1.1764
brca_metabric	MB-0521	0.6261
brca_metabric	MB-0522	-0.1371
brca_metabric	MB-0524	2.3835
brca_metabric	MB-0525	2.6048
brca_metabric	MB-0526	2.9674
brca_metabric	MB-0527	-0.9337
brca_metabric	MB-0528	0.3539
brca_metabric	MB-0529	-0.2468
brca_metabric	MB-0531	-1.6697
brca_metabric	MB-0532	1.0121
