STUDY_ID	SAMPLE_ID	ANGPT2
brca_metabric	MB-0279	8.136282204
brca_metabric	MB-0280	6.16572103
brca_metabric	MB-0282	8.075948831
brca_metabric	MB-0284	7.855661915
brca_metabric	MB-0285	6.812135892
brca_metabric	MB-0286	7.485984913
brca_metabric	MB-0287	6.994880799
brca_metabric	MB-0288	6.795099227
brca_metabric	MB-0289	7.405813543
brca_metabric	MB-0290	7.307001245
brca_metabric	MB-0291	8.016290837
brca_metabric	MB-0292	7.311796961
brca_metabric	MB-0293	7.325067912
brca_metabric	MB-0294	6.610971462
brca_metabric	MB-0295	6.478965648
brca_metabric	MB-0301	8.167553204
brca_metabric	MB-0302	6.972717645
brca_metabric	MB-0303	6.788686058
brca_metabric	MB-0304	7.032271633
brca_metabric	MB-0305	7.186346079
brca_metabric	MB-0306	7.242335056
brca_metabric	MB-0307	7.329712271
brca_metabric	MB-0308	7.299597711
brca_metabric	MB-0309	7.029466717
brca_metabric	MB-0310	7.357692878
brca_metabric	MB-0311	7.763097865
brca_metabric	MB-0312	7.655124824
brca_metabric	MB-0313	7.146416506
brca_metabric	MB-0314	8.1261208
brca_metabric	MB-0315	7.11679347
brca_metabric	MB-0316	6.705245463
brca_metabric	MB-0317	7.268081256
brca_metabric	MB-0318	6.924277263
brca_metabric	MB-0319	7.462716602
brca_metabric	MB-0320	7.75497086
brca_metabric	MB-0321	6.444678211
brca_metabric	MB-0322	6.193559116
brca_metabric	MB-0324	6.55241734
brca_metabric	MB-0325	7.661038115
brca_metabric	MB-0328	6.965684916
brca_metabric	MB-0336	6.907201769
brca_metabric	MB-0339	6.844650493
brca_metabric	MB-0340	7.084557208
brca_metabric	MB-0341	7.406491868
brca_metabric	MB-0342	6.807886293
brca_metabric	MB-0343	6.604602847
brca_metabric	MB-0344	6.70589494
brca_metabric	MB-0345	7.870872922
brca_metabric	MB-0346	7.46577773
brca_metabric	MB-0348	8.279292043
brca_metabric	MB-0349	6.849133109
brca_metabric	MB-0350	9.331176453
brca_metabric	MB-0352	7.16813299
brca_metabric	MB-0353	7.009598212
brca_metabric	MB-0354	7.228655294
brca_metabric	MB-0356	6.870878555
brca_metabric	MB-0358	7.261937088
brca_metabric	MB-0359	6.904763786
brca_metabric	MB-0360	6.889899227
brca_metabric	MB-0361	7.360340978
brca_metabric	MB-0362	7.473594943
brca_metabric	MB-0363	6.275306272
brca_metabric	MB-0364	6.750099181
brca_metabric	MB-0365	7.29180685
brca_metabric	MB-0366	6.285614719
brca_metabric	MB-0367	7.455827129
brca_metabric	MB-0368	6.276213003
brca_metabric	MB-0369	6.277744482
brca_metabric	MB-0370	6.528714095
brca_metabric	MB-0371	7.018262042
brca_metabric	MB-0372	7.962759174
brca_metabric	MB-0373	7.253757674
brca_metabric	MB-0374	8.24171484
brca_metabric	MB-0375	6.313965692
brca_metabric	MB-0377	7.997122504
brca_metabric	MB-0378	7.423224365
brca_metabric	MB-0379	7.016850532
brca_metabric	MB-0380	6.097518124
brca_metabric	MB-0381	8.143224879
brca_metabric	MB-0382	6.986874751
brca_metabric	MB-0383	7.350043997
brca_metabric	MB-0384	7.443442734
brca_metabric	MB-0385	7.839552367
brca_metabric	MB-0386	7.556479188
brca_metabric	MB-0388	6.651367486
brca_metabric	MB-0389	7.144475898
brca_metabric	MB-0391	7.319746078
brca_metabric	MB-0392	7.012430288
brca_metabric	MB-0393	7.395914915
brca_metabric	MB-0394	6.630814298
brca_metabric	MB-0395	7.637766398
brca_metabric	MB-0396	6.940309626
brca_metabric	MB-0397	7.243798842
brca_metabric	MB-0398	6.810272901
brca_metabric	MB-0399	7.457668037
brca_metabric	MB-0400	7.198927027
brca_metabric	MB-0401	7.790290675
brca_metabric	MB-0402	7.335239201
brca_metabric	MB-0404	6.9256724
brca_metabric	MB-0406	6.735164014
brca_metabric	MB-0410	6.422471094
brca_metabric	MB-0411	7.512485303
brca_metabric	MB-0412	6.562373017
brca_metabric	MB-0413	7.323725739
brca_metabric	MB-0414	6.471292752
brca_metabric	MB-0417	6.710374782
brca_metabric	MB-0418	7.313132571
brca_metabric	MB-0419	7.172768516
brca_metabric	MB-0420	8.830527153
brca_metabric	MB-0421	7.581342613
brca_metabric	MB-0422	7.408820273
brca_metabric	MB-0424	7.863686973
brca_metabric	MB-0425	6.866442917
brca_metabric	MB-0426	7.776463017
brca_metabric	MB-0427	6.498718721
brca_metabric	MB-0428	6.658502912
brca_metabric	MB-0429	6.362830568
brca_metabric	MB-0431	7.285419188
brca_metabric	MB-0434	7.527903535
brca_metabric	MB-0436	7.606874353
brca_metabric	MB-0437	6.442429028
brca_metabric	MB-0438	7.20180093
brca_metabric	MB-0439	6.964220016
brca_metabric	MB-0440	6.421394353
brca_metabric	MB-0442	8.037795142
brca_metabric	MB-0443	7.304104624
brca_metabric	MB-0444	7.757202573
brca_metabric	MB-0445	7.240598626
brca_metabric	MB-0446	6.892784846
brca_metabric	MB-0449	6.682053782
brca_metabric	MB-0451	6.679298715
brca_metabric	MB-0452	7.029820168
brca_metabric	MB-0453	7.911586837
brca_metabric	MB-0454	7.166994643
brca_metabric	MB-0455	6.40170704
brca_metabric	MB-0458	7.250905391
brca_metabric	MB-0459	7.465447248
brca_metabric	MB-0460	7.702952036
brca_metabric	MB-0462	6.976798543
brca_metabric	MB-0463	7.005806383
brca_metabric	MB-0464	6.983205407
brca_metabric	MB-0465	7.583897359
brca_metabric	MB-0466	7.208612068
brca_metabric	MB-0467	7.443823532
brca_metabric	MB-0468	6.747904688
brca_metabric	MB-0469	6.135686923
brca_metabric	MB-0470	6.518617584
brca_metabric	MB-0471	6.78146701
brca_metabric	MB-0472	7.834406726
brca_metabric	MB-0474	6.890811694
brca_metabric	MB-0475	7.463094405
brca_metabric	MB-0476	7.347077323
brca_metabric	MB-0478	8.171867951
brca_metabric	MB-0479	7.499895472
brca_metabric	MB-0480	7.336649431
brca_metabric	MB-0481	6.917013581
brca_metabric	MB-0482	7.827480529
brca_metabric	MB-0483	6.221135825
brca_metabric	MB-0484	7.533845352
brca_metabric	MB-0485	7.673254478
brca_metabric	MB-0486	7.099154112
brca_metabric	MB-0487	7.390582255
brca_metabric	MB-0488	7.45028745
brca_metabric	MB-0489	7.100660596
brca_metabric	MB-0490	7.798268752
brca_metabric	MB-0491	6.924244816
brca_metabric	MB-0492	8.658349476
brca_metabric	MB-0494	8.791392453
brca_metabric	MB-0495	9.255903035
brca_metabric	MB-0496	6.774520023
brca_metabric	MB-0497	6.520844908
brca_metabric	MB-0500	7.821319075
brca_metabric	MB-0501	7.222330048
brca_metabric	MB-0502	6.813913434
brca_metabric	MB-0503	7.114219986
brca_metabric	MB-0504	7.779000358
brca_metabric	MB-0505	7.921031028
brca_metabric	MB-0506	7.457982234
brca_metabric	MB-0507	7.492384787
brca_metabric	MB-0508	7.533845352
brca_metabric	MB-0509	7.359320155
brca_metabric	MB-0510	6.324569954
brca_metabric	MB-0511	7.616670692
brca_metabric	MB-0512	6.845787734
brca_metabric	MB-0513	7.065850863
brca_metabric	MB-0514	7.467806912
brca_metabric	MB-0516	7.154767284
brca_metabric	MB-0517	6.625919685
brca_metabric	MB-0519	7.046207006
brca_metabric	MB-0521	6.928389783
brca_metabric	MB-0522	7.219186915
brca_metabric	MB-0524	8.573470516
brca_metabric	MB-0525	7.757202573
brca_metabric	MB-0526	6.57568669
brca_metabric	MB-0527	6.879355575
brca_metabric	MB-0528	7.9497203
brca_metabric	MB-0529	7.13730613
brca_metabric	MB-0531	6.444671977
brca_metabric	MB-0532	6.295048423
brca_metabric	MB-0534	7.811624677
brca_metabric	MB-0535	6.620605419
brca_metabric	MB-0536	7.345207656
brca_metabric	MB-0537	7.356204465
brca_metabric	MB-0538	7.253352957
brca_metabric	MB-0540	7.266220803
brca_metabric	MB-0541	6.500017651
brca_metabric	MB-0542	6.542324313
brca_metabric	MB-0544	7.458544893
brca_metabric	MB-0545	7.459790156
brca_metabric	MB-0550	7.15553084
brca_metabric	MB-0551	7.770014013
brca_metabric	MB-0552	7.546487561
brca_metabric	MB-0553	7.310023478
brca_metabric	MB-0554	8.203226878
brca_metabric	MB-0558	8.152466274
brca_metabric	MB-0559	7.821245657
