STUDY_ID	SAMPLE_ID	ANGPT2
brca_metabric	MB-0286	0.7284
brca_metabric	MB-0287	-0.189
brca_metabric	MB-0288	-0.5784
brca_metabric	MB-0289	0.5823
brca_metabric	MB-0290	0.4004
brca_metabric	MB-0291	1.6612
brca_metabric	MB-0292	0.4092
brca_metabric	MB-0293	0.4338
brca_metabric	MB-0294	-0.9463
brca_metabric	MB-0295	-1.2155
brca_metabric	MB-0301	1.9172
brca_metabric	MB-0302	-0.2317
brca_metabric	MB-0303	-0.5911
brca_metabric	MB-0304	-0.1172
brca_metabric	MB-0305	0.1752
brca_metabric	MB-0306	0.2801
brca_metabric	MB-0307	0.4424
brca_metabric	MB-0308	0.3866
brca_metabric	MB-0309	-0.1226
brca_metabric	MB-0310	0.494
brca_metabric	MB-0311	1.2229
brca_metabric	MB-0312	1.0321
brca_metabric	MB-0313	0.1
brca_metabric	MB-0314	1.8475
brca_metabric	MB-0315	0.0439
brca_metabric	MB-0316	-0.7568
brca_metabric	MB-0317	0.3281
brca_metabric	MB-0318	-0.3255
brca_metabric	MB-0319	0.6861
brca_metabric	MB-0320	1.2086
brca_metabric	MB-0321	-1.2862
brca_metabric	MB-0322	-1.8143
brca_metabric	MB-0324	-1.0651
brca_metabric	MB-0325	1.0426
brca_metabric	MB-0328	-0.2453
brca_metabric	MB-0336	-0.3587
brca_metabric	MB-0339	-0.4809
brca_metabric	MB-0340	-0.0173
brca_metabric	MB-0341	0.5836
brca_metabric	MB-0342	-0.5532
brca_metabric	MB-0343	-0.9591
brca_metabric	MB-0344	-0.7555
brca_metabric	MB-0345	1.411
brca_metabric	MB-0346	0.6917
brca_metabric	MB-0348	2.1037
brca_metabric	MB-0349	-0.4721
brca_metabric	MB-0350	3.7561
brca_metabric	MB-0352	0.1409
brca_metabric	MB-0353	-0.1607
brca_metabric	MB-0354	0.2545
brca_metabric	MB-0356	-0.4295
brca_metabric	MB-0358	0.3166
brca_metabric	MB-0359	-0.3634
brca_metabric	MB-0360	-0.3924
brca_metabric	MB-0361	0.4989
brca_metabric	MB-0362	0.7059
brca_metabric	MB-0363	-1.6404
brca_metabric	MB-0364	-0.6675
brca_metabric	MB-0365	0.3722
brca_metabric	MB-0366	-1.6186
brca_metabric	MB-0367	0.6736
brca_metabric	MB-0368	-1.6384
brca_metabric	MB-0369	-1.6352
brca_metabric	MB-0370	-1.1135
brca_metabric	MB-0371	-0.144
brca_metabric	MB-0372	1.5696
brca_metabric	MB-0373	0.3014
brca_metabric	MB-0374	2.0412
brca_metabric	MB-0375	-1.5588
brca_metabric	MB-0377	1.6285
brca_metabric	MB-0378	0.6142
brca_metabric	MB-0379	-0.1468
brca_metabric	MB-0380	-2.0211
brca_metabric	MB-0381	1.8763
brca_metabric	MB-0382	-0.2044
brca_metabric	MB-0383	0.4799
brca_metabric	MB-0384	0.6511
brca_metabric	MB-0385	1.3566
brca_metabric	MB-0386	0.8557
brca_metabric	MB-0388	-0.8648
brca_metabric	MB-0389	0.0963
brca_metabric	MB-0391	0.4239
brca_metabric	MB-0392	-0.1552
brca_metabric	MB-0393	0.5642
brca_metabric	MB-0394	-0.9062
brca_metabric	MB-0395	1.0012
brca_metabric	MB-0396	-0.2944
brca_metabric	MB-0397	0.2828
brca_metabric	MB-0398	-0.5485
brca_metabric	MB-0399	0.677
brca_metabric	MB-0400	0.1988
brca_metabric	MB-0401	1.2706
brca_metabric	MB-0402	0.4526
brca_metabric	MB-0404	-0.3228
brca_metabric	MB-0406	-0.6972
brca_metabric	MB-0410	-1.3322
brca_metabric	MB-0411	0.7764
brca_metabric	MB-0412	-1.0448
brca_metabric	MB-0413	0.4313
brca_metabric	MB-0414	-1.2313
brca_metabric	MB-0417	-0.7466
brca_metabric	MB-0418	0.4117
brca_metabric	MB-0419	0.1497
brca_metabric	MB-0420	2.9917
brca_metabric	MB-0421	0.9004
brca_metabric	MB-0422	0.5878
brca_metabric	MB-0424	1.3985
brca_metabric	MB-0425	-0.4382
brca_metabric	MB-0426	1.2463
brca_metabric	MB-0427	-1.1749
brca_metabric	MB-0428	-0.8505
brca_metabric	MB-0429	-1.4563
brca_metabric	MB-0431	0.3603
brca_metabric	MB-0434	0.8042
brca_metabric	MB-0436	0.9461
brca_metabric	MB-0437	-1.2909
brca_metabric	MB-0438	0.2042
brca_metabric	MB-0439	-0.2481
brca_metabric	MB-0440	-1.3344
brca_metabric	MB-0442	1.6979
brca_metabric	MB-0443	0.395
brca_metabric	MB-0444	1.2125
brca_metabric	MB-0445	0.2769
brca_metabric	MB-0446	-0.3868
brca_metabric	MB-0449	-0.8032
brca_metabric	MB-0451	-0.8087
brca_metabric	MB-0452	-0.1219
brca_metabric	MB-0453	1.4815
brca_metabric	MB-0454	0.1388
brca_metabric	MB-0455	-1.3753
brca_metabric	MB-0458	0.2961
brca_metabric	MB-0459	0.6911
brca_metabric	MB-0460	1.1169
brca_metabric	MB-0462	-0.2238
brca_metabric	MB-0463	-0.168
brca_metabric	MB-0464	-0.2115
brca_metabric	MB-0465	0.9049
brca_metabric	MB-0466	0.217
brca_metabric	MB-0467	0.6518
brca_metabric	MB-0468	-0.6719
brca_metabric	MB-0469	-1.9386
brca_metabric	MB-0470	-1.1341
brca_metabric	MB-0471	-0.6053
brca_metabric	MB-0472	1.3476
brca_metabric	MB-0474	-0.3906
brca_metabric	MB-0475	0.6868
brca_metabric	MB-0476	0.4744
brca_metabric	MB-0478	1.9245
brca_metabric	MB-0479	0.7536
brca_metabric	MB-0480	0.4552
brca_metabric	MB-0481	-0.3396
brca_metabric	MB-0482	1.3355
brca_metabric	MB-0483	-1.7554
brca_metabric	MB-0484	0.8149
brca_metabric	MB-0485	1.0643
brca_metabric	MB-0486	0.0104
brca_metabric	MB-0487	0.5544
