STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0279	5.368508945
brca_metabric	MB-0280	5.419082648
brca_metabric	MB-0282	5.422433145
brca_metabric	MB-0284	5.494007936
brca_metabric	MB-0285	5.318078278
brca_metabric	MB-0286	5.475052609
brca_metabric	MB-0287	5.404649864
brca_metabric	MB-0288	5.475669392
brca_metabric	MB-0289	5.572648954
brca_metabric	MB-0290	5.472525388
brca_metabric	MB-0291	5.348108163
brca_metabric	MB-0292	5.417449048
brca_metabric	MB-0293	5.309452221
brca_metabric	MB-0294	5.351635063
brca_metabric	MB-0295	5.325555634
brca_metabric	MB-0301	5.338878886
brca_metabric	MB-0302	5.262361274
brca_metabric	MB-0303	5.046808361
brca_metabric	MB-0304	5.322325852
brca_metabric	MB-0305	5.138065471
brca_metabric	MB-0306	5.434160182
brca_metabric	MB-0307	5.451062613
brca_metabric	MB-0308	5.326754002
brca_metabric	MB-0309	5.313333486
brca_metabric	MB-0310	5.220121001
brca_metabric	MB-0311	5.609846159
brca_metabric	MB-0312	5.586705577
brca_metabric	MB-0313	5.203291202
brca_metabric	MB-0314	5.704125009
brca_metabric	MB-0315	5.315765483
brca_metabric	MB-0316	5.461017132
brca_metabric	MB-0317	5.492726938
brca_metabric	MB-0318	5.849860882
brca_metabric	MB-0319	5.233251104
brca_metabric	MB-0320	5.425271509
brca_metabric	MB-0321	5.389783873
brca_metabric	MB-0322	5.1890017
brca_metabric	MB-0324	5.219472886
brca_metabric	MB-0325	5.403668649
brca_metabric	MB-0328	5.118514742
brca_metabric	MB-0336	5.38535882
brca_metabric	MB-0339	5.517911866
brca_metabric	MB-0340	5.488897259
brca_metabric	MB-0341	5.479193691
brca_metabric	MB-0342	5.660514227
brca_metabric	MB-0343	5.448434541
brca_metabric	MB-0344	5.559072746
brca_metabric	MB-0345	5.346394223
brca_metabric	MB-0346	5.439949276
brca_metabric	MB-0348	5.276862377
brca_metabric	MB-0349	5.647158971
brca_metabric	MB-0350	5.32044676
brca_metabric	MB-0352	5.454096125
brca_metabric	MB-0353	5.141768943
brca_metabric	MB-0354	5.658837034
brca_metabric	MB-0356	5.181679599
brca_metabric	MB-0358	5.337794174
