STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0286	0.4797
brca_metabric	MB-0287	0.1011
brca_metabric	MB-0288	0.483
brca_metabric	MB-0289	0.9977
brca_metabric	MB-0290	0.4661
brca_metabric	MB-0291	-0.2059
brca_metabric	MB-0292	0.1702
brca_metabric	MB-0293	-0.4174
brca_metabric	MB-0294	-0.1867
brca_metabric	MB-0295	-0.3292
brca_metabric	MB-0301	-0.2563
brca_metabric	MB-0302	-0.6768
brca_metabric	MB-0303	-1.8897
brca_metabric	MB-0304	-0.3469
brca_metabric	MB-0305	-1.371
brca_metabric	MB-0306	0.2603
brca_metabric	MB-0307	0.3511
brca_metabric	MB-0308	-0.3226
brca_metabric	MB-0309	-0.3961
brca_metabric	MB-0310	-0.9112
brca_metabric	MB-0311	1.1931
brca_metabric	MB-0312	1.0717
brca_metabric	MB-0313	-1.005
brca_metabric	MB-0314	1.6835
brca_metabric	MB-0315	-0.3828
brca_metabric	MB-0316	0.4045
brca_metabric	MB-0317	0.5741
brca_metabric	MB-0318	2.4282
brca_metabric	MB-0319	-0.8382
brca_metabric	MB-0320	0.2124
brca_metabric	MB-0321	0.0206
brca_metabric	MB-0322	-1.0849
brca_metabric	MB-0324	-0.9148
brca_metabric	MB-0325	0.0958
brca_metabric	MB-0328	-1.4815
brca_metabric	MB-0336	-0.0033
brca_metabric	MB-0339	0.7081
brca_metabric	MB-0340	0.5536
brca_metabric	MB-0341	0.5018
brca_metabric	MB-0342	1.4575
brca_metabric	MB-0343	0.337
brca_metabric	MB-0344	0.9261
brca_metabric	MB-0345	-0.2153
brca_metabric	MB-0346	0.2914
brca_metabric	MB-0348	-0.5968
brca_metabric	MB-0349	1.388
brca_metabric	MB-0350	-0.3571
brca_metabric	MB-0352	0.3674
brca_metabric	MB-0353	-1.3501
brca_metabric	MB-0354	1.4488
brca_metabric	MB-0356	-1.1259
brca_metabric	MB-0358	-0.2622
brca_metabric	MB-0359	0.351
brca_metabric	MB-0360	0.5421
brca_metabric	MB-0361	2.1235
brca_metabric	MB-0362	0.2567
brca_metabric	MB-0363	0.1799
brca_metabric	MB-0364	-1.0673
brca_metabric	MB-0365	-0.1197
brca_metabric	MB-0366	-0.7442
brca_metabric	MB-0367	-0.2313
brca_metabric	MB-0368	-0.5374
brca_metabric	MB-0369	-0.45
brca_metabric	MB-0370	-0.5751
